Hora_decimal,P_3f_S,Q_3f_S
0.0,571.55,203.0216
0.25,571.55,203.0216
0.5,584.653,204.80290000000002
0.75,585.473,206.75740000000002
1.0,576.188,195.89749999999998
1.25,568.808,200.84769999999997
1.5,557.222,194.4389
1.75,562.213,197.19439999999997
2.0,550.877,192.7421
2.25,559.03,195.4084
2.5,564.2760000000001,192.6223
2.75,559.911,192.21699999999998
3.0,576.323,204.0362
3.25,570.242,204.3338
3.5,568.7719999999999,203.03300000000002
3.75,576.407,210.1515
4.0,579.827,210.2517
4.25,591.641,214.8369
4.5,577.217,222.2755
4.75,587.98,218.9371
5.0,563.857,195.6081
5.25,563.05,183.41660000000002
5.5,515.0730000000001,179.11509999999998
5.75,477.83500000000004,178.0242
6.0,450.706,171.8829
6.25,447.92100000000005,172.84980000000002
6.5,416.108,174.2987
6.75,409.197,175.1644
7.0,389.413,177.9759
7.25,367.386,181.8441
7.5,346.217,179.7886
7.75,331.118,183.719
8.0,219.4309,187.5555
8.25,189.1092,190.2023
8.5,186.7592,201.6119
8.75,179.91719999999998,210.4573
9.0,155.8466,198.1117
9.25,134.6184,201.3925
9.5,97.7676,198.5354
9.75,62.182,195.24939999999998
10.0,61.604200000000006,206.64690000000002
10.25,37.506099999999996,208.0711
10.5,-49.6138,209.3374
10.75,-68.2434,207.4885
11.0,-37.3367,211.17490000000004
11.25,-62.20219999999999,214.3546
11.5,-78.2537,207.3315
11.75,-65.6037,215.4173
12.0,-66.23859999999999,235.1404
12.25,-47.9324,229.9639
12.5,-34.3728,239.164
12.75,-35.4436,242.3351
13.0,-96.3141,227.87939999999998
13.25,-80.472,225.97
13.5,-54.0213,214.4222
13.75,4.19452,212.9673
14.0,48.4937,211.0958
14.25,36.365,219.25850000000003
14.5,26.21006,228.99849999999998
14.75,3.4184710000000003,225.70439999999996
15.0,-32.442800000000005,233.3652
15.25,24.4298,224.16880000000003
15.5,-21.04946,209.8637
15.75,37.2424,210.8926
16.0,101.2547,217.2067
16.25,156.47910000000002,228.12239999999997
16.5,202.0992,231.8784
16.75,234.5481,223.3613
17.0,232.835,212.61380000000003
17.25,285.9239,207.9042
17.5,312.572,194.51279999999997
17.75,349.908,191.2144
18.0,391.359,187.2651
18.25,430.031,181.2429
18.5,483.91200000000003,189.5857
18.75,509.422,188.5734
19.0,526.755,179.80720000000002
19.25,560.342,176.5913
19.5,546.2330000000001,168.54770000000002
19.75,579.539,173.2181
20.0,604.4100000000001,169.01850000000002
20.25,605.498,169.1346
20.5,612.763,166.24220000000003
20.75,603.115,170.5846
21.0,598.592,170.13799999999998
21.25,594.7090000000001,165.4334
21.5,595.87,177.1743
21.75,589.835,183.24859999999998
22.0,587.983,187.0532
22.25,585.9159999999999,187.1063
22.5,594.8209999999999,194.53909999999996
22.75,585.113,189.8204
23.0,580.56,187.2311
23.25,581.447,191.4658
23.5,577.752,186.3533
23.75,573.203,189.8714
24.0,601.693,204.48489999999998
24.25,603.447,207.9574
24.5,609.837,215.2556
24.75,603.4580000000001,208.98539999999997
25.0,582.95,194.7203
25.25,581.781,196.118
25.5,569.851,192.9649
25.75,569.5640000000001,187.4254
26.0,567.9970000000001,189.5531
26.25,573.437,191.9129
26.5,564.797,189.3179
26.75,569.1999999999999,186.6477
27.0,569.6469999999999,195.0203
27.25,561.9490000000001,189.2608
27.5,563.957,187.61509999999998
27.75,573.275,191.5612
28.0,585.089,198.979
28.25,593.803,203.4397
28.5,597.578,207.4146
28.75,590.827,206.3216
29.0,594.002,203.0157
29.25,582.875,200.18630000000002
29.5,549.186,189.49779999999998
29.75,514.4499999999999,191.52589999999998
30.0,489.799,185.46050000000002
30.25,486.091,184.2404
30.5,501.661,181.30450000000002
30.75,513.623,180.7105
31.0,510.621,188.2815
31.25,550.0070000000001,187.85490000000001
31.5,659.064,199.6477
31.75,750.857,208.87400000000002
32.0,788.719,217.9531
32.25,801.069,220.916
32.5,864.664,239.5153
32.75,908.4069999999999,239.02190000000002
33.0,875.789,248.03220000000002
33.25,920.3120000000001,250.5986
33.5,958.9459999999999,255.0349
33.75,822.046,245.82489999999999
34.0,893.8470000000001,248.56669999999997
34.25,846.797,254.46609999999998
34.5,816.7990000000001,268.3365
34.75,721.362,271.7622
35.0,743.932,276.9431
35.25,749.91,289.0179
35.5,666.64,268.7695
35.75,642.4490000000001,271.496
36.0,610.521,280.05310000000003
36.25,619.561,277.6536
36.5,660.432,283.2104
36.75,638.202,276.05690000000004
37.0,513.245,258.2594
37.25,498.821,260.4078
37.5,499.93499999999995,249.5365
37.75,406.51700000000005,247.53660000000002
38.0,429.718,252.39910000000003
38.25,453.20099999999996,248.5828
38.5,460.064,271.0333
38.75,542.07,266.98389999999995
39.0,517.376,254.25
39.25,497.04099999999994,248.7216
39.5,399.187,234.97380000000004
39.75,416.801,234.6493
40.0,435.75699999999995,234.37009999999998
40.25,480.1089999999999,231.6328
40.5,513.2139999999999,234.28300000000002
40.75,537.448,230.97879999999998
41.0,494.467,217.21380000000002
41.25,498.486,215.92609999999996
41.5,504.754,200.1285
41.75,536.83,206.28140000000002
42.0,571.985,203.6041
42.25,577.982,198.87470000000002
42.5,617.03,203.7758
42.75,636.087,202.0036
43.0,680.451,196.4567
43.25,704.658,200.08890000000002
43.5,677.8000000000001,193.081
43.75,689.89,190.4346
44.0,702.8439999999999,180.72480000000002
44.25,701.1709999999999,174.9107
44.5,699.077,174.3365
44.75,689.274,168.89159999999998
45.0,676.867,167.9645
45.25,677.117,177.7075
45.5,673.6669999999999,193.63619999999997
45.75,679.432,208.72660000000002
46.0,683.938,206.89090000000004
46.25,694.315,199.4857
46.5,684.667,198.7865
46.75,693.267,198.48150000000004
47.0,666.404,193.38259999999997
47.25,654.678,192.4368
47.5,652.987,193.0628
47.75,642.895,197.10679999999996
48.0,664.038,193.8472
48.25,669.124,195.5779
48.5,675.96,202.52840000000003
48.75,674.796,212.3537
49.0,666.767,212.4603
49.25,663.687,206.90640000000002
49.5,642.573,198.14589999999998
49.75,650.886,207.7147
50.0,635.504,196.55999999999997
50.25,632.66,198.67560000000003
50.5,628.155,205.0609
50.75,633.886,197.92270000000002
51.0,631.62,186.6677
51.25,630.165,185.3401
51.5,636.894,190.6205
51.75,631.32,191.1411
52.0,636.135,195.12969999999999
52.25,636.151,200.83620000000002
52.5,645.645,209.04699999999997
52.75,647.568,208.66219999999998
53.0,628.92,202.1754
53.25,629.889,204.7674
53.5,590.545,199.6866
53.75,553.544,200.705
