Hora_decimal,P_3f_S,Q_3f_S
0.0,716.712,103.0163
0.25,716.712,103.0163
0.5,725.872,104.0418
0.75,727.359,106.9978
1.0,720.716,96.56640000000002
1.25,708.8720000000001,100.6104
1.5,696.125,93.5073
1.75,705.001,96.82320000000001
2.0,691.813,90.736
2.25,700.0600000000001,93.8763
2.5,710.222,93.0227
2.75,703.867,92.36710000000001
3.0,721.523,103.6823
3.25,709.678,101.9878
3.5,709.347,100.285
3.75,716.262,110.09009999999999
4.0,719.9549999999999,109.4367
4.25,731.769,114.4109
4.5,722.6030000000001,122.5217
4.75,724.6500000000001,118.3719
5.0,698.11,93.2749
5.25,699.553,80.89609999999999
5.5,651.439,77.4198
5.75,608.085,77.998
6.0,574.806,70.4668
6.25,569.217,71.3114
6.5,537.731,72.304
6.75,531.1080000000001,75.2523
7.0,509.177,78.3508
7.25,479.15000000000003,81.4609
7.5,460.54699999999997,76.8613
7.75,442.069,81.6899
8.0,438.468,103.7647
8.25,395.538,104.47310000000002
8.5,348.051,109.75880000000001
8.75,316.689,116.8506
9.0,282.5567,103.5557
9.25,245.20350000000002,104.20060000000001
9.5,199.22129999999999,101.921
9.75,149.4734,99.04939999999999
10.0,141.1076,108.1185
10.25,121.0343,111.8103
10.5,157.1109,131.7114
10.75,136.9516,127.3913
11.0,108.2504,121.44
11.25,55.9374,122.2733
11.5,33.2716,115.00630000000001
11.75,35.6629,121.74950000000001
12.0,17.47089,139.53300000000002
12.25,23.41197,130.8774
12.5,53.97280000000001,139.1401
12.75,44.842800000000004,144.1977
13.0,122.04170000000002,146.69219999999999
13.25,105.95770000000002,143.4356
13.5,94.2798,125.493
13.75,134.7371,123.24689999999998
14.0,162.2176,116.7506
14.25,150.6872,126.7558
14.5,130.8585,133.5639
14.75,98.1248,130.48149999999998
15.0,71.86169999999998,139.43269999999998
15.25,127.40100000000001,125.6203
15.5,211.106,128.0971
15.75,256.9352,128.006
16.0,297.4791,133.13920000000002
16.25,322.016,136.1147
16.5,344.121,140.65109999999999
16.75,364.158,128.4998
17.0,377.911,118.92949999999999
17.25,417.016,112.42660000000001
17.5,443.821,97.12290000000002
17.75,475.531,90.7602
18.0,528.284,88.32660000000001
18.25,576.27,83.89869999999999
18.5,624.49,91.5545
18.75,652.574,90.79249999999999
19.0,671.986,81.4307
19.25,701.986,76.0001
19.5,685.143,65.9659
19.75,728.9639999999999,71.89760000000001
20.0,761.213,69.2702
20.25,764.6569999999999,69.95689999999999
20.5,767.399,66.0483
20.75,752.552,69.0694
21.0,754.195,69.3531
21.25,746.699,64.166
21.5,747.374,77.1936
21.75,748.409,87.509
22.0,735.369,87.2011
22.25,734.591,87.274
22.5,741.965,95.4297
22.75,724.5169999999999,87.22619999999999
23.0,721.128,84.7871
23.25,732.887,94.5677
23.5,722.1110000000001,86.3417
23.75,720.0050000000001,90.7875
24.0,746.165,103.95769999999999
24.25,749.096,106.999
24.5,750.398,115.0523
24.75,746.5160000000001,108.4287
25.0,723.073,94.3457
25.25,730.212,98.86319999999999
25.5,719.183,95.3159
25.75,716.957,88.7454
26.0,706.9100000000001,87.65220000000001
26.25,723.64,92.3966
26.5,714.992,89.9378
26.75,721.682,89.4533
27.0,718.128,97.2355
27.25,706.899,90.0039
27.5,701.28,85.0795
27.75,711.908,89.4726
28.0,723.63,98.2935
28.25,735.64,102.4556
28.5,745.0849999999999,110.11439999999999
28.75,736.246,108.81379999999999
29.0,730.999,100.61699999999999
29.25,722.932,98.4195
29.5,685.9929999999999,88.7066
29.75,646.0740000000001,91.8146
30.0,617.821,86.3571
30.25,614.341,83.1808
30.5,627.6189999999999,79.4801
30.75,655.534,82.68610000000001
31.0,655.981,92.916
31.25,693.268,91.3343
31.5,827.353,104.92120000000001
31.75,933.81,117.2089
32.0,1100.258,140.879
32.25,1109.8600000000001,141.071
32.5,1160.15,154.6697
32.75,1168.281,151.8186
33.0,1138.251,164.7132
33.25,1199.346,167.8856
33.5,1225.981,168.052
33.75,1058.894,153.2584
34.0,1135.868,158.1526
34.25,1088.347,165.5241
34.5,1198.587,199.1818
34.75,1068.359,196.7636
35.0,1066.412,202.74450000000002
35.25,1058.23,208.88029999999998
35.5,957.1869999999999,184.80509999999998
35.75,927.873,190.4026
36.0,877.216,199.9227
36.25,848.9019999999999,195.3127
36.5,889.883,199.97109999999998
36.75,888.085,191.21110000000002
37.0,863.752,183.8691
37.25,839.156,187.4493
