Hora_decimal,P_3f_S,Q_3f_S
0.0,2.854709,14.762989999999999
0.25,2.854709,14.762989999999999
0.5,2.8556820000000003,14.76803
0.75,2.855558,14.76739
1.0,2.855924,14.76928
1.25,2.855258,14.765830000000001
1.5,2.8557930000000002,14.7686
1.75,2.855927,14.769290000000002
2.0,2.856635,14.772960000000001
2.25,2.856389,14.77168
2.5,2.856495,14.77223
2.75,2.856746,14.773530000000001
3.0,2.855678,14.767999999999999
3.25,2.856196,14.77069
3.5,2.856148,14.770430000000001
3.75,2.8551919999999997,14.76549
4.0,2.854931,14.764139999999998
4.25,2.854186,14.760280000000002
4.5,2.854298,14.76088
4.75,2.855255,14.765819999999998
5.0,2.8579849999999998,14.77993
5.25,2.8600589999999997,14.79067
5.5,2.861396,14.79757
5.75,2.8634250000000003,14.80807
6.0,2.865284,14.81767
6.25,2.864958,14.81599
6.5,-37.3704,14.930340000000001
6.75,-55.0888,15.04222
7.0,-73.2967,15.196390000000001
7.25,-99.9785,15.49471
7.5,-126.42269999999999,15.873959999999999
7.75,-153.1364,16.3444
8.0,-179.8674,16.90188
8.25,-215.5898,17.78042
8.5,-251.3828,18.81405
8.75,-287.7481,20.01724
9.0,-324.855,21.417279999999998
9.25,-355.296,22.68666
9.5,-385.568,24.05854
9.75,-415.55899999999997,25.52559
10.0,-445.33000000000004,27.088260000000002
10.25,-468.841,28.396269999999998
10.5,-491.985,29.749900000000004
10.75,-514.762,31.144199999999998
11.0,-537.325,32.585499999999996
11.25,-558.944,34.0227
11.5,-580.213,35.4942
11.75,-601.217,36.997
12.0,-622.078,38.5471
12.25,-623.072,38.6269
12.5,-623.626,38.6704
12.75,-623.8580000000001,38.686
13.0,-623.875,38.6929
13.25,-599.81,36.9052
13.5,-575.0740000000001,35.1417
13.75,-549.823,33.4189
14.0,-523.9689999999999,31.73
14.25,-553.321,33.6485
14.5,-581.899,35.6181
14.75,-609.674,37.623799999999996
15.0,-636.335,39.6401
15.25,-589.537,36.1699
15.5,-541.285,32.8543
15.75,-491.5,29.725069999999995
16.0,-440.769,26.83826
