Mes,Posto,N_pontos_SIM32,Consumo_P_SIM32_kWh,Injecao_P_SIM32_kWh,Consumo_Q_SIM32_kVArh,DemandaMax_P_SIM32_kW,DemandaMax_Inj_SIM32_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1112621.21172775,133.07068765,157460.8896,4084.01,97.982,2712
JANEIRO,PONTA,264,111418.2,0.0,12529.092725,2173.294,0.0,264
FEVEREIRO,FORA_PONTA,2448,1229567.120125,0.0,164521.972225,4899.08,0.0,2448
FEVEREIRO,PONTA,240,118221.96175,0.0,13407.385875,2535.9300000000003,0.0,240
MARCO,FORA_PONTA,2736,1318974.77057,0.0,163546.9972,5202.99,0.0,2736
MARCO,PONTA,240,135824.75400000002,0.0,12641.36715,2998.642,0.0,240
ABRIL,FORA_PONTA,2640,976627.232065,1093.7045625,98701.80601,3533.5999999999995,218.3937,2640
ABRIL,PONTA,240,116990.52375000001,0.0,7798.5729,2333.121,0.0,240
MAIO,FORA_PONTA,2724,1072435.77724255,56.39474875,84351.6246,3530.2200000000003,48.2882,2724
MAIO,PONTA,252,128492.447,0.0,7168.4396725,2782.811,0.0,252
JUNHO,FORA_PONTA,2640,1264853.54805,0.0,71677.67408,4671.63,0.0,2640
JUNHO,PONTA,240,139146.7995,0.0,5930.4471,2938.206,0.0,240
JULHO,FORA_PONTA,2700,1221943.3251750001,47.719277500000004,60235.896491075,4524.08,63.1757,2700
JULHO,PONTA,276,141539.07425,0.0,5529.41242,3521.0200000000004,0.0,276
AGOSTO,FORA_PONTA,2724,1116492.36651,93.62293,66262.55024025,3543.82,68.7726,2724
AGOSTO,PONTA,252,131955.93875,0.0,6710.6643625,2634.794,0.0,252
SETEMBRO,FORA_PONTA,2616,999354.7836775,0.0,76404.261475,3007.2200000000003,0.0,2616
SETEMBRO,PONTA,264,129652.478,0.0,7737.316625,2310.92,0.0,264
OUTUBRO,FORA_PONTA,2700,997165.6334325,400.10989,96469.981975,3729.53,150.8168,2700
OUTUBRO,PONTA,276,132930.6155,0.0,9788.776575,2455.075,0.0,276
NOVEMBRO,FORA_PONTA,2652,1068161.0996375,475.9425475,117764.4423,5021.280000000001,206.5037,2652
NOVEMBRO,PONTA,228,121265.1055,0.0,10577.554125,3101.59,0.0,228
DEZEMBRO,FORA_PONTA,2712,1104607.2173225,22.186625,133458.679025,4935.67,88.7465,2712
DEZEMBRO,PONTA,264,122475.0575,0.0,13429.94805,2868.159,0.0,264
