Hora_decimal,P_3f_S,Q_3f_S
0.0,607.2090000000001,209.84459999999999
0.25,607.2090000000001,209.84459999999999
0.5,621.21,211.77790000000002
0.75,622.085,213.8671
1.0,612.165,202.2493
1.25,604.287,207.532
1.5,591.908,200.6597
1.75,597.237,203.6081
2.0,585.142,198.8492
2.25,593.844,201.69799999999998
2.5,599.444,198.72360000000003
2.75,594.785,198.2903
3.0,612.309,210.9387
3.25,605.82,211.2552
3.5,604.249,209.865
3.75,612.399,217.4652
4.0,616.059,217.5942
4.25,628.669,222.4923
4.5,613.284,230.45210000000003
4.75,624.774,226.89399999999998
5.0,599.021,201.964
5.25,598.16,188.9531
5.5,546.935,184.3152
5.75,507.187,183.1379
6.0,478.21000000000004,176.5433
6.25,475.237,177.575
6.5,446.916,179.0931
6.75,442.029,179.99530000000001
7.0,423.476,182.9577
7.25,403.731,187.0245
7.5,384.87699999999995,184.7461
7.75,372.551,188.8405
8.0,257.0349,192.8104
8.25,229.7208,195.4478
8.5,232.1284,207.44440000000003
8.75,229.9359,216.6355
9.0,209.38619999999997,203.11469999999997
9.25,190.9511,206.3533
9.5,155.8482,202.9817
9.75,121.94839999999999,199.16320000000002
10.0,125.46880000000002,211.0316
10.25,103.0254,212.2774
10.5,13.27287,213.3539
10.75,-3.436467,211.0904
11.0,32.705200000000005,214.7203
11.25,9.10811,217.8162
11.5,-5.2186,209.9968
11.75,11.12312,218.33390000000003
12.0,13.35275,239.11610000000002
12.25,33.0326,233.584
12.5,47.5949,243.4276
12.75,46.484500000000004,246.8107
13.0,-18.50228,231.3331
13.25,-4.91939,229.66410000000002
13.5,19.9767,217.6712
13.75,78.7698,216.4817
14.0,122.4743,214.8671
14.25,113.6131,223.1782
14.5,106.555,233.2185
14.75,86.01310000000001,229.29309999999998
15.0,51.3454,237.06199999999998
15.25,105.6584,227.9597
15.5,50.649,213.3028
15.75,105.9239,215.05810000000002
16.0,167.1817,222.428
16.25,223.4851,234.3009
16.5,269.5324,238.5581
16.75,301.354,229.6761
17.0,296.5162,218.38
17.25,347.443,213.72699999999998
17.5,369.963,199.7299
17.75,403.944,196.4891
18.0,442.043,192.5113
18.25,477.217,186.281
18.5,528.687,195.369
18.75,550.367,194.3803
19.0,564.5450000000001,185.0494
19.25,595.251,181.64329999999998
19.5,580.1780000000001,173.0223
19.75,615.727,178.02
20.0,642.281,173.5453
20.25,643.443,173.6707
20.5,651.2,170.58839999999998
20.75,640.902,175.2214
21.0,636.0550000000001,174.7135
21.25,631.9110000000001,169.6901
21.5,633.147,182.221
21.75,626.706,188.7034
22.0,624.738,192.77859999999998
22.25,622.533,192.8374
22.5,632.049,200.80069999999998
22.75,621.688,195.75799999999998
23.0,616.824,192.9778
23.25,617.769,197.49820000000003
23.5,613.815,192.0136
23.75,608.9590000000001,195.765
24.0,639.387,211.42040000000003
24.25,641.259,215.1259
24.5,648.093,222.94779999999997
24.75,641.284,216.2518
25.0,619.383,200.9966
25.25,618.135,202.4866
25.5,605.389,199.0933
25.75,605.082,193.17880000000002
26.0,603.414,195.449
26.25,609.222,197.97180000000003
26.5,600.0,195.19800000000004
26.75,604.6990000000001,192.3492
27.0,605.183,201.31259999999997
27.25,596.966,195.1628
27.5,599.1080000000001,193.4054
27.75,609.0540000000001,197.6223
28.0,621.675,205.5639
28.25,630.975,210.3263
28.5,635.018,214.5972
28.75,627.812,213.43040000000002
29.0,631.2,209.8838
29.25,619.322,206.8598
29.5,583.347,195.4101
29.75,546.2719999999999,197.5639
30.0,519.94,191.0487
30.25,515.981,189.7483
30.5,532.599,186.6206
30.75,545.367,185.989
31.0,548.288,194.0534
31.25,595.8140000000001,193.5593
