Hora_decimal,P_3f_S,Q_3f_S
0.0,341.47,126.92670000000001
0.25,341.47,126.92670000000001
0.5,337.314,123.45320000000001
0.75,336.799,124.97720000000001
1.0,337.129,121.49869999999999
1.25,338.366,123.69229999999999
1.5,346.874,125.88189999999999
1.75,356.44,131.1427
2.0,349.072,126.94669999999999
2.25,353.395,127.8671
2.5,353.326,127.3433
2.75,355.024,126.78739999999999
3.0,341.08,128.8299
3.25,342.763,130.43880000000001
3.5,336.649,129.51860000000002
3.75,340.534,131.86880000000002
4.0,332.797,128.2199
4.25,346.49,132.8395
4.5,307.1,127.29729999999999
4.75,323.263,127.1383
5.0,319.274,115.3034
5.25,320.077,108.22649999999999
5.5,304.54200000000003,112.42420000000001
5.75,273.0775,110.80090000000001
6.0,247.32240000000002,103.7278
6.25,245.69349999999997,104.15180000000001
6.5,212.6488,104.95829999999998
6.75,203.10590000000002,106.16069999999999
7.0,186.7179,107.2327
7.25,168.0104,110.5129
7.5,144.2409,111.4265
7.75,123.512,110.9813
8.0,32.1094,110.36760000000001
8.25,-0.615963,111.2515
8.5,-29.33442,111.44
8.75,-45.607,118.0192
9.0,-43.4816,121.8322
9.25,-66.4154,124.7027
9.5,-80.782,128.63729999999998
9.75,-113.306,125.0995
10.0,-138.9057,128.72410000000002
10.25,-160.31949999999998,128.5327
10.5,-239.1402,126.00820000000002
10.75,-258.1429,125.5714
11.0,-227.2833,132.3664
11.25,-254.2848,131.54579999999999
11.5,-249.95260000000002,136.0039
11.75,-248.5824,141.63479999999998
12.0,-255.2025,153.6866
12.25,-248.6232,150.3158
12.5,-258.3376,149.4493
12.75,-257.1948,153.31969999999998
13.0,-285.4568,145.816
13.25,-268.9071,144.30259999999998
13.5,-231.4605,141.3098
13.75,-186.7646,140.7844
14.0,-153.88490000000002,137.6802
14.25,-170.8848,143.0087
14.5,-199.1191,144.8829
14.75,-225.057,142.40109999999999
15.0,-274.8343,143.1479
15.25,-213.2353,138.2092
15.5,-217.9438,133.6683
15.75,-165.26049999999998,134.9882
16.0,-119.2214,133.0137
16.25,-86.3774,137.3768
16.5,-62.8067,136.26600000000002
16.75,-31.636900000000004,132.07940000000002
17.0,-11.112919999999999,129.67770000000002
17.25,33.101,125.3853
17.5,81.5584,122.92689999999999
17.75,115.1277,120.163
18.0,129.6139,108.70439999999999
18.25,172.04739999999998,103.8075
18.5,198.9606,103.0967
18.75,224.71500000000003,102.77950000000001
19.0,257.162,102.11429999999999
19.25,286.3687,99.55160000000001
19.5,303.118,100.8567
19.75,329.836,102.65700000000001
20.0,347.775,99.91130000000001
20.25,348.583,100.84370000000001
20.5,355.789,99.71350000000001
20.75,349.755,101.669
21.0,361.30499999999995,108.4803
21.25,356.247,104.83260000000001
21.5,359.836,111.3368
21.75,355.31,117.5264
22.0,335.416,112.5
22.25,338.999,113.47460000000001
22.5,327.66700000000003,112.67680000000001
22.75,323.431,110.0587
23.0,334.142,114.2656
23.25,338.846,116.5247
23.5,350.671,117.34100000000001
23.75,348.187,120.83430000000001
24.0,361.651,129.91500000000002
24.25,365.35,132.1923
24.5,351.295,132.1775
24.75,346.096,127.333
25.0,340.493,118.83110000000002
25.25,340.972,120.4478
25.5,358.017,126.8989
25.75,353.876,122.9767
26.0,351.349,122.4069
26.25,357.78700000000003,127.1875
26.5,349.743,122.84400000000001
26.75,354.58,122.6024
27.0,337.363,120.93710000000002
27.25,332.692,118.2357
27.5,335.06,117.604
27.75,339.038,119.57050000000001
28.0,332.22700000000003,121.4444
28.25,340.157,123.65349999999998
28.5,324.142,120.1884
28.75,322.174,117.96520000000001
29.0,334.689,120.66470000000001
29.25,328.123,119.3743
29.5,320.914,116.6834
29.75,296.7501,120.6329
30.0,268.1711,111.07990000000001
30.25,268.8194,110.496
30.5,276.7074,110.9047
30.75,279.1806,109.13839999999999
31.0,254.86479999999997,111.6645
31.25,267.2501,112.17649999999999
31.5,353.18600000000004,119.0393
31.75,419.49,128.8033
32.0,436.871,131.2187
32.25,409.76599999999996,131.04680000000002
32.5,431.07399999999996,134.8195
32.75,458.619,133.3795
33.0,454.00199999999995,154.11309999999997
33.25,485.22900000000004,156.8605
33.5,534.531,166.5387
33.75,378.795,159.8435
34.0,445.534,159.5139
34.25,415.581,158.62030000000001
34.5,373.86,162.6616
34.75,282.00329999999997,167.4561
35.0,297.73810000000003,173.99450000000002
35.25,286.8028,180.2092
35.5,225.8893,173.119
35.75,201.7151,174.906
36.0,171.8928,177.1303
36.25,174.9171,175.9451
36.5,209.99009999999998,174.5685
36.75,202.9008,172.4398
37.0,103.0084,162.6598
37.25,124.7575,167.90949999999998
37.5,137.3384,166.988
37.75,82.0972,162.947
38.0,89.0986,168.4649
38.25,105.6351,161.4298
38.5,65.42609999999999,171.2878
38.75,143.8111,168.7353
39.0,121.0692,156.84009999999998
39.25,125.0634,152.8009
39.5,87.15769999999999,150.7495
39.75,93.7832,151.12890000000002
40.0,97.318,146.4753
40.25,141.3626,143.9168
40.5,152.4995,138.0083
40.75,172.4869,133.6254
