Hora_decimal,P_3f_S,Q_3f_S
0.0,760.9209999999999,110.1112
0.25,760.9209999999999,110.1112
0.5,770.713,111.23679999999999
0.75,772.3009999999999,114.39520000000002
1.0,765.2,103.2351
1.25,752.555,107.5489
1.5,738.935,99.9339
1.75,748.412,103.48190000000001
2.0,734.3389999999999,96.97639999999998
2.25,743.144,100.3317
2.5,753.989,99.4214
2.75,747.206,98.72039999999998
3.0,766.061,110.8329
3.25,753.417,109.021
3.5,753.063,107.2022
3.75,760.4449999999999,117.6694
4.0,764.396,116.99539999999999
4.25,777.008,122.309
4.5,767.234,130.9885
4.75,769.422,126.5611
5.0,741.086,99.7415
5.25,742.627,86.53099999999999
5.5,691.252,82.7711
5.75,644.973,83.3717
6.0,609.431,75.2906
6.25,603.4639999999999,76.19069999999999
6.5,575.4929999999999,77.2359
6.75,570.9150000000001,80.3672
7.0,550.069,83.6413
7.25,521.7860000000001,86.9068
7.5,505.673,81.9222
7.75,489.74,86.9846
8.0,489.66200000000003,110.67150000000001
8.25,448.879,111.21209999999999
8.5,403.067,116.5581
8.75,374.689,123.8365
9.0,343.395,109.302
9.25,307.745,109.7264
9.5,262.8908,106.9739
9.75,213.8709,103.6017
10.0,209.0777,112.99199999999999
10.25,190.9293,116.6667
10.5,232.7421,137.88309999999998
10.75,214.3861,132.94330000000002
11.0,186.8655,126.17320000000001
11.25,133.95049999999998,126.70600000000002
11.5,112.55869999999999,118.6232
11.75,117.948,125.521
12.0,101.4355,144.2326
12.25,107.91909999999999,134.9871
12.5,140.6284,143.8235
12.75,130.91719999999998,149.226
13.0,213.3718,152.0756
13.25,192.8704,148.9384
13.5,177.0311,129.9887
13.75,216.85970000000003,127.8983
14.0,242.61540000000002,121.3381
14.25,234.3843,131.61579999999998
14.5,217.0023,138.5235
14.75,185.84429999999998,134.8242
15.0,161.4145,143.9661
15.25,214.3109,129.926
15.5,297.26279999999997,133.4149
15.75,339.231,133.93130000000002
16.0,375.408,139.9135
16.25,398.94100000000003,143.2466
16.5,419.89300000000003,148.3306
16.75,438.466,135.55270000000002
17.0,450.133,125.5018
17.25,486.13699999999994,118.9254
17.5,508.823,102.87539999999998
17.75,536.8009999999999,96.3492
18.0,586.9649999999999,93.9796
18.25,632.0819999999999,89.4401
18.5,677.509,97.78059999999999
18.75,701.9350000000001,97.04509999999999
19.0,718.3299999999999,87.0683
19.25,745.2040000000001,81.2834
19.5,727.211,70.53540000000001
19.75,773.987,76.8844
20.0,808.4190000000001,74.09179999999999
20.25,812.096,74.8266
20.5,815.0239999999999,70.6586
20.75,799.175,73.87960000000001
21.0,800.912,74.152
21.25,792.91,68.6114
21.5,793.629,82.5156
21.75,794.7359999999999,93.5278
22.0,780.823,93.2098
22.25,779.9929999999999,93.28989999999999
22.5,787.877,102.02539999999999
22.75,769.2520000000001,93.26
23.0,765.631,90.6397
23.25,778.184,101.084
23.5,766.667,92.2717
23.75,764.4200000000001,97.0139
24.0,792.3639999999999,111.1312
24.25,795.49,114.3774
24.5,796.895,123.00399999999999
24.75,792.75,115.9315
25.0,767.7160000000001,100.8677
25.25,775.3340000000001,105.6913
25.5,763.55,101.8757
25.75,761.174,94.86
26.0,750.452,93.6893
26.25,768.3130000000001,98.7625
26.5,759.081,96.13310000000001
26.75,766.223,95.6181
27.0,762.4350000000001,103.9507
27.25,750.449,96.2278
27.5,744.45,90.96770000000001
27.75,755.796,95.6626
28.0,768.319,105.1028
28.25,781.139,109.54830000000001
28.5,791.234,117.75480000000002
28.75,781.8000000000001,116.3653
29.0,776.1949999999999,107.59479999999999
29.25,767.5840000000001,105.2453
29.5,728.1379999999999,94.8335
29.75,685.5260000000001,98.13640000000001
30.0,655.3480000000001,92.2673
