Hora_decimal,P_3f_S,Q_3f_S
0.0,-5.29574e-13,8.892109699999999e-13
0.25,-5.29574e-13,8.892109699999999e-13
0.5,6.385880000000001e-13,1.567831e-12
0.75,2.2672571999999997e-13,2.0221300000000002e-13
1.0,8.41783e-13,9.7901404e-13
1.25,-5.089430000000001e-13,4.0873499999999997e-13
1.5,2.53107e-13,1.9476411e-13
1.75,4.03715e-13,6.8042e-13
2.0,5.8316438e-13,1.370792e-12
2.25,-1.2495499999999995e-13,1.6758749999999999e-12
2.5,1.7696071e-13,4.78309e-13
2.75,-1.048536e-12,5.0699723e-13
3.0,1.1497629999999999e-12,-9.03673e-13
3.25,6.9909687e-13,1.178815e-12
3.5,2.16379e-13,1.58004e-12
3.75,1.046018e-12,1.5558739999999998e-12
4.0,3.77149e-13,6.87799e-13
4.25,-5.3188661e-13,2.9514069999999997e-12
4.5,1.6071869999999998e-12,-1.19087427e-12
4.75,1.695585e-12,1.852593e-12
5.0,6.2369999999999915e-15,2.855238e-12
5.25,-9.603486e-13,-2.060831e-12
5.5,-3.40755e-13,2.01749e-13
5.75,1.135717e-12,2.6484260000000004e-12
6.0,1.3785499999999997e-13,3.2466899999999998e-12
6.25,-4.2478300000000005e-13,-2.010340000000001e-13
6.5,38.283,0.000352611
6.75,55.14959999999999,0.0001921303
7.0,72.4872,0.0002599363
7.25,97.90350000000001,0.000471884
7.5,123.1044,0.00043300299999999995
7.75,148.5744,0.00081353
8.0,174.15269999999998,-0.0001781932
8.25,208.2804,0.0014765909999999998
8.5,242.61630000000002,0.0002486331
8.75,277.4475,0.0016420340000000001
9.0,313.071,0.002510728
9.25,342.30600000000004,0.002247488
9.5,371.38800000000003,0.002492017
9.75,400.32900000000006,0.0032849900000000002
10.0,428.985,0.0010678060000000001
10.25,451.638,0.002017592
10.5,473.946,0.0013269800000000002
10.75,495.92099999999994,0.001132346
11.0,517.698,0.001460506
11.25,538.653,0.00438729
11.5,559.338,-7.35022e-05
11.75,579.666,0.00426956
12.0,599.859,0.0024368090000000003
12.25,600.822,-0.0018355149999999998
12.5,601.359,-0.0002381177
12.75,601.584,0.001469489
13.0,601.602,-0.000738495
13.25,578.295,-0.0008411989999999999
13.5,554.352,-0.002345933
13.75,529.7760000000001,-0.00231116
14.0,504.807,-0.001586374
14.25,533.127,0.0036647800000000003
14.5,560.97,0.0025664579999999998
14.75,587.8499999999999,0.002863725
15.0,613.749,0.0030426
15.25,568.359,-0.00474803
15.5,521.523,-0.00333566
15.75,473.481,-0.002668029
16.0,424.593,-0.001954799
16.25,406.341,-0.000875638
16.5,387.339,-0.000496152
16.75,367.617,-0.002546765
17.0,347.028,-0.000701196
17.25,307.242,-0.002681709
17.5,266.7504,-0.002266179
17.75,225.73770000000002,-0.001831676
18.0,184.2483,-0.0001509358
18.25,142.377,-0.0009112759999999999
18.5,101.63819999999998,-4.62837e-05
18.75,64.17269999999999,-0.0002188799
19.0,34.9635,-8.415620000000001e-06
19.25,-2.94429e-13,1.777346e-12
19.5,-1.239719e-13,1.676229e-12
19.75,7.92607e-13,2.158432e-12
20.0,1.678779e-12,3.7289396e-13
20.25,3.67551e-13,-1.0389988e-13
20.5,2.785399999999999e-14,9.847935999999999e-14
20.75,9.282799999999999e-14,9.8029781e-13
21.0,8.7722e-13,-4.0739000000000004e-13
21.25,1.3391963e-12,5.7501687e-13
21.5,1.329532e-12,1.845926e-12
21.75,2.623715e-13,8.7901394e-13
22.0,2.1570999999999997e-13,1.36674683e-12
22.25,-7.17702e-13,-4.848715399999999e-13
22.5,7.71498e-13,-1.485673e-12
22.75,1.15969e-12,2.0543619999999997e-12
23.0,8.96508e-13,1.0689502700000001e-12
23.25,1.6519330000000001e-12,3.8137999999999994e-13
23.5,1.5968099999999998e-13,1.17021987e-12
23.75,2.784818000000001e-13,-8.721049999999999e-13
24.0,6.307746000000001e-13,8.816759999999999e-13
24.25,6.46788e-13,2.14480914e-12
24.5,6.618550000000001e-13,2.8816829e-13
24.75,9.613154000000002e-13,2.056684e-12
25.0,1.0155270000000001e-12,2.148405e-12
25.25,1.10361945e-12,1.857836e-12
25.5,1.0516300000000002e-13,1.0793419e-12
25.75,-1.006534e-12,7.048293699999999e-13
26.0,2.9308348e-13,2.859010000000001e-13
26.25,2.0820199999999995e-13,-1.27382454e-12
26.5,6.20874e-13,9.111799999999998e-14
26.75,-1.328857e-12,2.1435397999999998e-13
27.0,2.0611899999999999e-13,6.8270678e-13
27.25,-2.7898800000000006e-13,3.0412510199999997e-12
27.5,6.8049e-13,1.764991e-12
27.75,-3.6053630999999997e-13,2.851332e-12
28.0,5.5417999999999987e-14,1.9709249e-13
28.25,-6.800083199999999e-13,4.03989e-13
28.5,5.37779e-13,-2.0436317e-13
28.75,5.9300249e-13,2.161365e-12
29.0,1.7962745e-13,6.90237e-13
29.25,9.87869e-13,-1.1776e-13
29.5,6.01522e-13,6.7832672e-13
29.75,-5.634281000000002e-14,-3.0343400000000004e-13
30.0,4.3574999999999994e-13,8.732400000000006e-14
30.25,5.5037532e-13,-1.582472e-12
30.5,-1.5523700000000004e-13,1.472115e-12
30.75,5.72235e-13,2.750102e-12
31.0,41.606700000000004,-0.000404004
31.25,78.6912,-0.000441552
31.5,112.92689999999999,-9.25614e-05
31.75,144.96179999999998,-0.0001740735
32.0,176.1783,-0.000489641
