MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,4084,2173,1112621.0,111418.0,133.0,0.0,98,0,0.0,0.0,133.0,0.0,1112488.0,111418.0,0.0,0.0,0.0,0.0,0.0,0.0,1466.0,1157.0,134118.56,181097.82,39963.16,80029.69,0.0,0.0,166893.15,16712.7,38.57,0.0,411631.2,65736.62,1096182.9
FEV,4899,2536,1229567.0,118222.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1229567.0,118222.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,794.0,160883.16,211350.24,17746.26,54920.98,0.0,0.0,184435.05,17733.3,0.0,0.0,454939.79,69750.98,1171759.76
MAR,5203,2999,1318975.0,135825.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1318975.0,135825.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,331.0,170866.52,249936.66,9459.22,22895.27,0.0,0.0,197846.25,20373.75,0.0,0.0,488020.75,80136.75,1239535.17
ABR,3534,2333,976627.0,116991.0,1094.0,0.0,218,0,0.0,0.0,1094.0,0.0,975533.0,116991.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,997.0,116056.56,194432.22,54956.16,68962.49,0.0,0.0,146494.05,17548.65,317.26,0.0,361034.73,69024.69,1028509.55
MAI,3530,2783,1072436.0,128492.0,56.0,0.0,48,0,0.0,0.0,56.0,0.0,1072380.0,128492.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,547.0,115925.2,231935.22,55065.2,37835.99,0.0,0.0,160865.4,19273.8,16.24,0.0,396785.08,75810.28,1093496.17
JUN,4672,2938,1264854.0,139147.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1264854.0,139147.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0,392.0,153428.48,244852.92,23934.28,27114.64,0.0,0.0,189728.1,20872.05,0.0,0.0,467995.98,82096.73,1210023.18
JUL,4524,3521,1221943.0,141539.0,48.0,0.0,63,0,0.0,0.0,48.0,0.0,1221895.0,141539.0,0.0,0.0,0.0,0.0,0.0,191.0,1026.0,0.0,148568.16,293440.14,27968.76,0.0,0.0,31835.88,183291.45,21230.85,13.92,0.0,452104.99,83508.01,1241948.24
AGO,3544,2635,1116492.0,131956.0,94.0,0.0,69,0,0.0,0.0,94.0,0.0,1116398.0,131956.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,695.0,116384.96,219600.9,54683.56,48073.15,0.0,0.0,167473.8,19793.4,27.26,0.0,413074.78,77854.04,1116938.59
SET,3007,2311,999355.0,129652.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,999355.0,129652.0,0.0,0.0,0.0,0.0,0.0,0.0,2543.0,1019.0,98749.88,192598.74,69322.18,70484.23,0.0,0.0,149903.25,19447.8,0.0,0.0,369761.35,76494.68,1046762.11
OUT,3730,2455,997166.0,132931.0,400.0,0.0,151,0,0.0,0.0,400.0,0.0,996766.0,132931.0,0.0,0.0,0.0,0.0,0.0,0.0,1820.0,875.0,122493.2,204599.7,49613.2,60523.75,0.0,0.0,149574.9,19939.65,116.0,0.0,368835.42,78429.29,1054009.11
NOV,5021,3102,1068161.0,121265.0,476.0,0.0,207,0,0.0,0.0,476.0,0.0,1067685.0,121265.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,228.0,164889.64,258520.68,14420.54,15770.76,0.0,0.0,160224.15,18189.75,138.04,0.0,395081.53,71546.35,1098643.4
DEZ,4936,2868,1104607.0,122475.0,22.0,0.0,89,0,0.0,0.0,22.0,0.0,1104585.0,122475.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,462.0,162098.24,239019.12,16737.64,31956.54,0.0,0.0,165691.05,18371.25,6.38,0.0,408698.21,72260.25,1114832.3
TOTAIS,5203,3521,13482804.0,1529913.0,2323.0,0.0,,,,,2323.0,0.0,13480481.0,1529913.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,13512640.479999999
