Hora_decimal,P_3f_S,Q_3f_S
0.0,459.138,35.4561
0.25,459.138,35.4561
0.5,430.68899999999996,23.59692
0.75,427.88599999999997,22.79067
1.0,439.93399999999997,27.096250000000005
1.25,456.304,34.323499999999996
1.5,462.452,36.96
1.75,451.73199999999997,29.67451
2.0,453.38800000000003,31.328200000000002
2.25,449.56600000000003,28.676650000000002
2.5,436.28200000000004,27.91117
2.75,441.793,25.162459999999996
3.0,425.418,29.017090000000003
3.25,429.345,26.380630000000004
3.5,433.452,27.73626
3.75,432.26099999999997,30.10476
4.0,432.061,34.2203
4.25,430.61799999999994,35.0714
4.5,415.592,37.966
4.75,405.923,27.046030000000002
5.0,413.187,19.06047
5.25,391.736,3.91201
5.5,400.80499999999995,8.79955
5.75,370.027,11.53791
6.0,364.505,9.30615
6.25,379.142,11.09657
6.5,328.74,10.36776
6.75,304.195,7.1963799999999996
7.0,287.5606,10.12231
7.25,267.62440000000004,11.892589999999998
7.5,254.6492,19.87196
7.75,223.62400000000002,16.24602
8.0,153.2991,18.89512
8.25,124.1817,20.49072
8.5,105.89080000000001,27.200340000000004
8.75,85.4593,34.6833
9.0,52.7292,30.01894
9.25,29.42501,35.6862
9.5,21.87944,43.9798
9.75,12.608709999999999,50.482
10.0,-17.879060000000003,52.88419999999999
10.25,-42.0791,51.7608
10.5,-131.3092,37.391400000000004
10.75,-146.5113,40.295500000000004
11.0,-141.1438,49.9897
11.25,-135.9576,60.761
11.5,-155.56380000000001,59.357099999999996
11.75,-155.3512,66.3457
12.0,-184.8592,63.7787
12.25,-178.3162,62.6561
12.5,-183.3984,60.692
12.75,-189.0608,60.8289
13.0,-204.20779999999996,53.4701
13.25,-196.2217,56.16030000000001
13.5,-132.047,59.996300000000005
13.75,-85.0975,59.8492
14.0,-82.7837,49.1915
14.25,-102.88669999999999,52.109199999999994
14.5,-136.37310000000002,50.0144
14.75,-164.2423,48.2035
15.0,-170.7794,53.7611
15.25,-111.93390000000001,44.9932
15.5,-107.14429999999999,44.0692
15.75,-39.4761,54.59440000000001
16.0,20.77406,50.7157
16.25,76.94999999999999,64.41900000000001
16.5,70.3255,50.446099999999994
16.75,83.51740000000001,39.5697
17.0,121.4777,35.5308
17.25,154.8534,29.566340000000004
17.5,205.46070000000003,30.495599999999996
17.75,255.68470000000002,29.36374
18.0,316.962,33.7748
18.25,339.502,26.08424
18.5,373.304,25.83923
18.75,396.86199999999997,17.0025
19.0,433.61199999999997,16.154049999999998
19.25,467.481,15.24501
19.5,497.83200000000005,20.16453
19.75,502.02,20.68129
20.0,515.958,21.28239
20.25,530.904,18.186169999999997
20.5,537.861,15.49612
20.75,537.396,20.47404
21.0,531.707,19.52029
21.25,538.542,14.71685
21.5,544.035,24.762030000000003
21.75,528.09,29.046390000000002
22.0,531.048,34.8003
22.25,520.572,32.293099999999995
22.5,507.87,30.5915
22.75,501.63,30.355599999999995
23.0,512.582,28.350929999999998
23.25,501.252,30.688299999999998
23.5,505.32899999999995,31.6684
23.75,501.456,28.47694
24.0,482.32800000000003,32.828900000000004
24.25,491.568,40.5056
24.5,480.321,42.184799999999996
24.75,474.55400000000003,35.8705
25.0,480.975,31.584600000000002
25.25,472.09000000000003,29.757150000000003
25.5,477.547,27.925910000000002
25.75,487.326,26.75998
26.0,493.16999999999996,36.0964
26.25,490.161,28.25996
26.5,489.552,34.7919
26.75,476.184,23.64085
27.0,457.644,21.45909
27.25,465.92499999999995,19.59508
27.5,474.39,18.86811
27.75,470.47799999999995,22.7106
28.0,464.24699999999996,24.47064
28.25,470.019,24.04479
28.5,447.57,23.49966
28.75,438.365,22.42822
29.0,432.74100000000004,18.35211
29.25,425.18199999999996,15.714960000000001
29.5,448.426,25.962600000000002
29.75,404.009,16.33635
30.0,401.808,19.541490000000003
30.25,425.39699999999993,27.26594
30.5,433.597,24.49666
30.75,444.90999999999997,17.928019999999997
31.0,487.76099999999997,30.461900000000004
31.25,529.3050000000001,26.378899999999998
31.5,552.125,44.7231
31.75,643.7370000000001,50.290000000000006
32.0,617.02,52.2426
32.25,735.124,71.6892
32.5,749.059,96.0659
32.75,779.0540000000001,117.75640000000001
33.0,998.352,165.551
33.25,986.6379999999999,167.1851
33.5,921.6759999999999,165.20319999999998
33.75,1023.05,157.7086
34.0,802.514,128.0575
34.25,945.085,191.6775
34.5,841.287,197.51459999999997
34.75,921.3389999999999,230.5111
35.0,963.966,258.3535
35.25,907.587,246.9903
35.5,963.672,267.2157
35.75,939.165,263.3555
36.0,903.259,267.65340000000003
36.25,895.572,259.4105
36.5,824.0440000000001,235.2373
36.75,828.8889999999999,225.3272
37.0,822.608,226.8302
37.25,727.433,217.74559999999997
37.5,710.172,213.4882
37.75,684.033,218.0032
38.0,578.969,195.8644
38.25,601.41,204.6945
38.5,632.237,201.61219999999997
38.75,442.424,142.3243
39.0,305.519,89.1287
39.25,292.5529,86.5911
39.5,251.966,78.4505
39.75,252.3431,71.2013
40.0,277.9341,67.5903
40.25,285.5874,66.6572
40.5,295.9566,56.08709999999999
40.75,299.67449999999997,59.3265
41.0,321.719,59.1447
41.25,407.024,78.6485
41.5,330.584,41.3193
41.75,347.83299999999997,42.486200000000004
42.0,354.10699999999997,36.3505
42.25,391.85,31.7012
42.5,433.428,30.5013
42.75,483.95700000000005,33.1505
43.0,539.331,33.2504
43.25,568.581,37.507600000000004
43.5,584.7750000000001,41.4259
43.75,587.5440000000001,35.037800000000004
44.0,608.811,27.577639999999995
