Mes,Posto,N_pontos_SIM2,Consumo_P_SIM2_kWh,Injecao_P_SIM2_kWh,Consumo_Q_SIM2_kVArh,DemandaMax_P_SIM2_kW,DemandaMax_Inj_SIM2_kW,N_pontos_SIM33,Consumo_P_SIM33_kWh,Injecao_P_SIM33_kWh,Consumo_Q_SIM33_kVArh,DemandaMax_P_SIM33_kW,DemandaMax_Inj_SIM33_kW,N_pontos_META
JANEIRO,FORA_PONTA,2712,1247986.03125,0.0,111081.57335,4601.09,0.0,2712,835445.1953825,22981.800505,153486.31555,3102.44,934.878,2712
JANEIRO,PONTA,264,106519.01625,0.0,8881.22425,2189.518,0.0,264,96367.03475,0.0,11839.152925,1969.215,0.0,264
FEVEREIRO,FORA_PONTA,2448,1302918.6935,0.0,121155.239031,5293.83,0.0,2448,970659.0592173,12846.835247325,157258.7680475,3900.07,855.76,2448
FEVEREIRO,PONTA,240,111067.2575,0.0,9884.754675,2497.443,0.0,240,103686.08425,0.0,12552.113625,2217.632,0.0,240
MARCO,FORA_PONTA,2736,1398718.94925,0.0,117092.46215,5424.81,0.0,2736,1043930.54876,16732.878065,157768.38195,4450.01,937.564,2736
MARCO,PONTA,240,125599.891,0.0,9179.0273,2821.215,0.0,240,120620.6905,0.0,11844.803,2675.877,0.0,240
ABRIL,FORA_PONTA,2640,1046336.75975,0.0,61263.5519619,3488.3900000000003,0.0,2640,779919.20207,27279.9934425,98373.2263525,2947.472,1071.513,2640
ABRIL,PONTA,240,105623.26225,0.0,4871.96111,2105.641,0.0,240,106130.12575,0.0,7477.83645,2113.99,0.0,240
MAIO,FORA_PONTA,2724,1089969.021,0.0,48919.905416855,3452.44,0.0,2724,895929.50705,20316.896144525,84085.5071675,3191.63,848.841,2724
MAIO,PONTA,252,115993.521,0.0,4187.1933913,2510.263,0.0,252,116525.277,0.0,6921.59324,2518.666,0.0,252
JUNHO,FORA_PONTA,2640,1242724.09375,0.0,38102.155019485,4376.42,0.0,2640,1070011.9958725001,4158.151035175,71428.1346425,4088.08,680.251,2640
JUNHO,PONTA,240,125569.913,0.0,3151.4850875,2650.217,0.0,240,126074.99975,0.0,5748.98005,2658.636,0.0,240
JULHO,FORA_PONTA,2700,1229188.7010000001,0.0,27148.2271470175,4607.84,0.0,2700,1013320.39849675,6939.36461475,62117.6015675,3935.17,891.593,2700
JULHO,PONTA,276,127765.63075,0.0,2482.835064725,3175.17,0.0,276,128348.0655,0.0,5478.8671575,3183.28,0.0,276
AGOSTO,FORA_PONTA,2724,1150062.316,0.0,31955.9060229875,3455.62,0.0,2724,918671.3980075,20060.2756203,68353.27631,3062.08,926.184,2724
AGOSTO,PONTA,252,119110.506175,0.0,3766.06350575,2377.106,0.0,252,119642.1295,0.0,6499.2414099,2385.516,0.0,252
SETEMBRO,FORA_PONTA,2616,1065787.183,0.0,41289.61118589175,3092.4700000000003,0.0,2616,787244.627983,11569.384752,78287.806495,2642.876,889.95,2616
SETEMBRO,PONTA,264,117526.443,0.0,4590.8948225,2085.462,0.0,264,117220.764,0.0,7467.9116,2093.885,0.0,264
OUTUBRO,FORA_PONTA,2700,1096837.493225,0.0,57517.6741775,3897.04,0.0,2700,762254.342848075,15527.0531020725,97465.209825,2934.51,1075.551,2700
OUTUBRO,PONTA,276,121921.60075,0.0,6324.1117525,2302.502,0.0,276,119040.0545,0.0,9350.4699,2223.7250000000004,0.0,276
NOVEMBRO,FORA_PONTA,2652,1195910.83625,0.0,76081.170921425,5363.5,0.0,2652,804072.53903725,22553.87534055,117526.22105000001,4139.09,1146.722,2652
NOVEMBRO,PONTA,228,112115.74475,0.0,7458.345525,3100.21,0.0,228,107762.432,0.0,9955.3642,2761.2560000000003,0.0,228
DEZEMBRO,FORA_PONTA,2712,1210240.697,0.0,90455.0494375,5272.67,0.0,2712,851071.6437785,20805.49593425,130853.663025,3811.6,939.651,2712
DEZEMBRO,PONTA,264,114506.35875,0.0,9707.184525,2926.615,0.0,264,107933.11725,0.0,12614.7598,2500.11,0.0,264
