Hora_decimal,P_3f_S,Q_3f_S
0.0,2.8541730000000003,14.76023
0.25,2.8541730000000003,14.76023
0.5,2.85567,14.76796
0.75,2.8555710000000003,14.76746
1.0,2.855616,14.76768
1.25,2.854659,14.762739999999999
1.5,2.85494,14.764190000000001
1.75,2.855436,14.766760000000001
2.0,2.855907,14.76919
2.25,2.855829,14.768790000000001
2.5,2.8561750000000004,14.770579999999999
2.75,2.85636,14.771540000000002
3.0,2.855621,14.76771
3.25,2.856045,14.76991
3.5,2.855855,14.76892
3.75,2.855034,14.764679999999998
4.0,2.854731,14.763110000000001
4.25,2.8541849999999998,14.760280000000002
4.5,2.854244,14.76059
4.75,2.8555159999999997,14.76717
5.0,2.8578259999999998,14.77911
5.25,2.8602250000000002,14.791530000000002
5.5,2.860906,14.79504
5.75,2.862852,14.805109999999999
6.0,2.864442,14.81333
6.25,2.863888,14.81046
6.5,-38.3946,14.94427
6.75,-56.56679999999999,15.068660000000001
7.0,-75.24289999999999,15.235779999999998
7.25,-102.61430000000001,15.55648
7.5,-129.7462,15.9611
7.75,-157.12900000000002,16.462239999999998
8.0,-184.5506,17.054850000000002
8.25,-221.1959,17.983159999999998
8.5,-257.8653,19.072499999999998
8.75,-295.1866,20.34094
9.0,-333.22,21.81013
9.25,-364.444,23.13974
9.5,-395.476,24.57331
9.75,-426.206,26.10472
10.0,-456.696,27.732599999999998
10.25,-480.84299999999996,29.09977
10.5,-504.53999999999996,30.5064
10.75,-527.937,31.959300000000002
11.0,-551.02,33.4554
11.25,-573.154,34.9478
11.5,-594.96,36.4719
11.75,-616.485,38.0361
12.0,-637.737,39.628299999999996
12.25,-638.7470000000001,39.7128
12.5,-639.311,39.7557
12.75,-639.5459999999999,39.7713
13.0,-639.5640000000001,39.7781
13.25,-614.952,37.9323
13.5,-589.637,36.1084
13.75,-563.752,34.3196
14.0,-537.34,32.5697
14.25,-567.34,34.553799999999995
14.5,-596.637,36.596999999999994
14.75,-625.111,38.6763
15.0,-652.31,40.7547
15.25,-604.465,37.1755
15.5,-555.052,33.737
15.75,-504.03999999999996,30.485100000000003
16.0,-452.017,27.476409999999998
16.25,-432.592,26.42723
16.5,-412.37300000000005,25.3909
16.75,-391.45200000000006,24.37302
17.0,-369.472,23.35117
17.25,-326.964,21.539649999999998
17.5,-283.6964,19.91489
17.75,-239.8673,18.492939999999997
18.0,-195.4024,17.27767
18.25,-150.50119999999998,16.30107
18.5,-106.64509999999999,15.56915
18.75,-66.29560000000001,15.11084
19.0,-34.8257,14.886510000000001
19.25,2.8571090000000003,14.7754
19.5,2.856725,14.77342
19.75,2.855136,14.7652
20.0,2.853752,14.758040000000001
