MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,3166,1997,852360.0,97875.0,22097.0,0.0,922,0,0.0,0.0,22097.0,0.0,830263.0,97875.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.0,1048.0,103971.44,166429.98,52039.34,72490.16,0.0,0.0,127854.0,14681.25,6408.13,0.0,308965.07,57746.25,904177.49
FEV,3975,2252,988640.0,105272.0,12099.0,0.0,839,0,0.0,0.0,12099.0,0.0,976541.0,105272.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,793.0,130539.0,187681.68,29986.0,54851.81,0.0,0.0,148296.0,15790.8,3508.71,0.0,362288.09,62110.48,991543.86
MAR,4516,2715,1063062.0,122425.0,15797.0,0.0,921,0,0.0,0.0,15797.0,0.0,1047265.0,122425.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,330.0,148305.44,226268.1,15238.34,22826.1,0.0,0.0,159459.3,18363.75,4581.13,0.0,388751.81,72230.75,1051443.59
ABR,2999,2144,793924.0,107634.0,26493.0,0.0,1059,0,0.0,0.0,26493.0,0.0,767431.0,107634.0,0.0,0.0,0.0,0.0,0.0,0.0,2076.0,901.0,98487.16,178680.96,56591.76,62322.17,0.0,0.0,119088.6,16145.1,7682.97,0.0,286068.91,63504.06,880888.72
MAI,3238,2555,910718.0,118181.0,19682.0,0.0,835,0,0.0,0.0,19682.0,0.0,891036.0,118181.0,0.0,0.0,0.0,0.0,0.0,0.0,1837.0,490.0,106335.92,212933.7,50076.62,33893.3,0.0,0.0,136607.7,17727.15,5707.78,0.0,331257.88,69726.79,958559.06
JUN,4153,2697,1087572.0,127880.0,3961.0,0.0,664,0,0.0,0.0,3961.0,0.0,1083611.0,127880.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,348.0,136384.52,224767.98,25133.72,24071.16,0.0,0.0,163135.8,19182.0,1148.69,0.0,401252.95,75449.2,1069377.33
JUL,3998,3230,1030424.0,130173.0,6514.0,0.0,878,0,0.0,0.0,6514.0,0.0,1023910.0,130173.0,0.0,0.0,0.0,0.0,0.0,185.0,1077.0,0.0,131294.32,269188.2,29359.02,0.0,0.0,30835.8,154563.6,19525.95,1889.06,0.0,379367.82,76802.07,1090936.78
AGO,3107,2420,934348.0,121345.0,19412.0,0.0,912,0,0.0,0.0,19412.0,0.0,914936.0,121345.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.0,625.0,102033.88,201682.8,53647.68,43231.25,0.0,0.0,140152.2,18201.75,5629.48,0.0,340079.28,71593.55,970622.39
SET,2683,2124,801779.0,118895.0,11011.0,0.0,874,0,0.0,0.0,11011.0,0.0,790768.0,118895.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.0,921.0,88109.72,177014.16,65205.92,63705.57,0.0,0.0,120266.85,17834.25,3193.19,0.0,293465.04,70148.05,895749.56
OUT,2992,2256,777173.0,120776.0,14917.0,0.0,1061,0,0.0,0.0,14917.0,0.0,762256.0,120776.0,0.0,0.0,0.0,0.0,0.0,0.0,2083.0,789.0,98257.28,188015.04,56782.58,54575.13,0.0,0.0,116575.95,18116.4,4325.93,0.0,283228.08,71257.84,886808.3
NOV,4212,2801,820163.0,109368.0,21607.0,0.0,1133,0,0.0,0.0,21607.0,0.0,798556.0,109368.0,0.0,0.0,0.0,0.0,0.0,0.0,863.0,244.0,138322.08,233435.34,23525.38,16877.48,0.0,0.0,123024.45,16405.2,6266.03,0.0,297194.28,64527.12,913311.33
DEZ,3878,2536,867301.0,109562.0,19800.0,0.0,922,0,0.0,0.0,19800.0,0.0,847501.0,109562.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.0,509.0,127353.52,211350.24,32630.22,35207.53,0.0,0.0,130095.15,16434.3,5742.0,0.0,315159.37,64641.58,932871.91
TOTAIS,4516,3230,10927464.0,1389386.0,193390.0,0.0,,,,,193390.0,0.0,10734074.0,1389386.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,11546290.320000002
