Hora_decimal,P_3f_S,Q_3f_S
0.0,52.3741,47.8356
0.25,52.3741,47.8356
0.5,46.962199999999996,45.3587
0.75,50.5286,45.4794
1.0,52.1502,46.67
1.25,54.0045,47.5209
1.5,56.112,47.831999999999994
1.75,53.9033,45.8667
2.0,52.8612,45.701
2.25,55.7948,46.5726
2.5,53.5639,47.1777
2.75,54.4037,47.1519
3.0,50.662499999999994,46.842
3.25,50.997899999999994,46.2789
3.5,50.2633,46.3512
3.75,51.359899999999996,46.5744
4.0,48.6142,46.971599999999995
4.25,49.6946,46.967699999999994
4.5,47.209199999999996,47.79
4.75,46.3206,46.3555
5.0,47.9022,45.0807
5.25,45.983200000000004,42.3825
5.5,47.617999999999995,42.9525
5.75,41.9688,43.1342
6.0,41.3845,43.4792
6.25,43.9294,43.8899
6.5,-37.758,44.4026
6.75,-74.41730000000001,44.3998
7.0,-111.7543,44.942099999999996
7.25,-164.2106,45.7106
7.5,-216.8571,47.519999999999996
7.75,-270.6949,48.2682
8.0,-342.165,48.435199999999995
8.25,-414.67299999999994,50.479600000000005
8.5,-483.95899999999995,53.9816
8.75,-554.366,57.5049
9.0,-625.0060000000001,59.792699999999996
9.25,-686.052,62.0176
9.5,-744.543,65.4269
9.75,-803.761,69.6352
10.0,-862.183,72.9738
10.25,-911.3240000000001,75.6857
10.5,-972.797,76.1788
10.75,-1018.9089999999999,78.9257
11.0,-1053.9019999999998,82.9961
11.25,-1095.935,87.56899999999999
11.5,-1138.579,89.3754
11.75,-1177.241,92.7386
12.0,-1221.164,95.6834
12.25,-1221.786,95.9795
12.5,-1223.6879999999999,96.7171
12.75,-1226.561,96.1915
13.0,-1232.1750000000002,95.3675
13.25,-1184.713,91.9773
13.5,-1127.953,88.7707
13.75,-1072.554,85.2838
14.0,-1021.9770000000001,79.95750000000001
14.25,-1079.931,83.8247
14.5,-1139.576,87.9006
14.75,-1192.0330000000001,92.6462
15.0,-1248.7640000000001,96.89150000000001
15.25,-1154.4589999999998,88.43299999999999
15.5,-1064.9560000000001,82.23599999999999
