Hora_decimal,P_3f_S,Q_3f_S
0.0,8.39894,17.1077
0.25,8.39894,17.1077
0.5,7.183909999999999,16.511589999999998
0.75,7.907489999999999,16.52288
1.0,8.46302,16.91755
1.25,9.01033,17.20715
1.5,9.26189,17.277160000000002
1.75,8.27658,16.652389999999997
2.0,8.21592,16.577280000000002
2.25,8.55513,16.714599999999997
2.5,8.393600000000001,16.98283
2.75,8.39383,16.92527
3.0,7.93591,16.88947
3.25,8.02449,16.725469999999998
3.5,8.09295,16.66856
3.75,8.02032,16.68998
4.0,7.79561,16.83295
4.25,7.69973,16.75012
4.5,8.31467,17.24663
4.75,7.4519400000000005,16.77115
5.0,8.149370000000001,16.84521
5.25,7.10963,16.27582
5.5,7.8321000000000005,16.383760000000002
5.75,7.15157,16.4039
6.0,7.05557,16.44415
6.25,7.53169,16.52636
6.5,-33.8298,16.67405
6.75,-52.19800000000001,16.72438
7.0,-70.9953,16.89397
7.25,-98.3087,17.22414
7.5,-125.29159999999999,17.74061
7.75,-152.61219999999997,18.19286
8.0,-181.84199999999998,18.66281
8.25,-218.5086,19.653
8.5,-254.34570000000002,21.13143
8.75,-291.29110000000003,22.47529
9.0,-329.392,23.59713
9.25,-360.431,24.92682
9.5,-391.183,26.39362
9.75,-420.90999999999997,28.447560000000003
10.0,-451.30600000000004,30.0274
10.25,-475.605,31.394999999999996
10.5,-501.27299999999997,32.246
10.75,-524.6469999999999,33.6941
11.0,-546.775,35.292
11.25,-567.9639999999999,37.407799999999995
11.5,-590.433,38.4252
11.75,-611.552,39.9773
12.0,-632.763,41.5776
12.25,-633.944,41.5931
12.5,-634.2379999999999,41.864999999999995
12.75,-635.082,41.6906
13.0,-635.534,41.6396
13.25,-611.086,39.9636
13.5,-584.575,38.3017
13.75,-558.286,36.5246
14.0,-532.774,34.2479
14.25,-562.597,36.199
14.5,-591.973,38.293499999999995
14.75,-619.995,40.601800000000004
15.0,-646.8620000000001,42.7145
15.25,-599.492,38.8498
15.5,-550.756,35.600300000000004
15.75,-499.404,32.6871
16.0,-447.45000000000005,29.43748
16.25,-426.32800000000003,29.15404
16.5,-406.948,27.42435
16.75,-386.839,26.06881
17.0,-364.575,25.020070000000004
17.25,-322.416,23.11354
17.5,-278.8422,21.63051
17.75,-234.26160000000002,20.12168
18.0,-190.2685,18.83113
18.25,-145.79289999999997,17.81798
18.5,-101.51749999999998,17.19187
18.75,-61.10680000000001,16.60038
19.0,-29.59281,16.360580000000002
19.25,8.18961,16.2966
19.5,8.51857,16.26945
19.75,7.955970000000001,16.27243
20.0,9.139140000000001,16.492449999999998
20.25,8.83618,16.28971
20.5,8.3964,16.15221
20.75,8.76246,16.26828
21.0,8.15523,16.288919999999997
21.25,8.78514,16.312469999999998
21.5,9.03771,16.5318
21.75,8.10139,16.449089999999998
22.0,9.14481,16.82134
22.25,8.5091,16.56672
22.5,8.20097,16.6387
22.75,8.20635,16.56273
23.0,7.906499999999999,16.43378
23.25,7.75911,16.49737
23.5,8.388100000000001,16.866300000000003
23.75,8.69929,16.68009
24.0,7.637690000000001,16.60432
24.25,7.83569,16.86418
24.5,7.612490000000001,16.904519999999998
24.75,7.51085,16.80754
25.0,8.70763,17.007089999999998
25.25,8.66056,17.01734
25.5,8.3237,16.69251
25.75,8.31708,16.6978
26.0,9.00833,17.053900000000002
26.25,8.38547,16.5763
26.5,8.85539,17.03305
26.75,8.36447,16.471629999999998
27.0,8.06318,16.60501
27.25,7.875640000000001,16.527630000000002
27.5,7.92363,16.403460000000003
27.75,7.24035,16.41038
28.0,7.697240000000001,16.4332
28.25,8.11328,16.5276
28.5,7.665839999999999,16.41976
28.75,7.687950000000001,16.55082
29.0,7.2941899999999995,16.483420000000002
29.25,7.346450000000001,16.43925
29.5,8.63904,16.79676
29.75,7.39283,16.57687
30.0,7.62055,16.736449999999998
30.25,7.86842,16.75629
30.5,8.16842,16.73185
