Hora_decimal,P_3f_S,Q_3f_S
0.0,441.08500000000004,45.19799999999999
0.25,441.08500000000004,45.19799999999999
0.5,414.04900000000004,33.941900000000004
0.75,411.385,33.1763
1.0,422.835,37.2664
1.25,438.39199999999994,44.1259
1.5,444.235,46.6314
1.75,434.047,39.71
2.0,435.62199999999996,41.2853
2.25,431.989,38.7654
2.5,419.365,38.0443
2.75,424.602,35.430099999999996
3.0,409.039,39.0956
3.25,412.772,36.59
3.5,416.675,37.8769
3.75,415.54200000000003,40.1237
4.0,415.352,44.033100000000005
4.25,413.98,44.8391
4.5,399.70000000000005,47.5953
4.75,390.512,37.2262
5.0,397.418,29.64748
5.25,377.033,15.2664
5.5,385.654,19.91547
5.75,356.40500000000003,22.535800000000002
6.0,351.158,20.42423
6.25,365.06899999999996,22.1203
6.5,270.6952,21.50976
6.75,226.9054,18.62545
7.0,190.0667,21.5884
7.25,140.2999,23.637330000000002
7.5,97.4211,31.6994
7.75,37.1215,28.86718
8.0,-60.41669999999999,32.1462
8.25,-129.262,34.8358
8.5,-187.6587,42.591499999999996
8.75,-248.9375,51.3255
9.0,-322.608,48.7864
9.25,-379.666,55.8887
9.5,-421.595,65.5907
9.75,-464.678,73.721
10.0,-527.658,78.122
10.25,-577.611,78.8606
10.5,-688.646,67.2263
10.75,-729.1940000000001,71.9067
11.0,-749.907,82.96340000000001
11.25,-769.6139999999999,95.1252
11.5,-812.406,95.7559
11.75,-836.1179999999999,104.39800000000001
12.0,-887.7339999999999,104.083
12.25,-882.6629999999999,103.09
12.5,-888.0419999999999,101.3635
12.75,-893.6850000000002,101.50580000000001
13.0,-907.999,94.6292
13.25,-873.0600000000002,94.7322
13.5,-784.175,95.85549999999999
13.75,-710.952,93.3141
14.0,-679.316,80.9187
14.25,-731.833,86.293
14.5,-796.018,87.0159
14.75,-854.115,88.02040000000001
15.0,-890.448,96.04140000000001
15.25,-781.491,82.97460000000001
15.5,-722.105,77.7095
15.75,-601.0,83.3677
16.0,-485.717,75.71629999999999
16.25,-410.702,87.3087
16.5,-394.46899999999994,72.7017
16.75,-358.579,61.0607
17.0,-297.918,55.8907
17.25,-218.6644,47.871900000000004
17.5,-122.1242,46.6526
17.75,-25.403040000000004,43.7658
18.0,82.7906,46.4095
18.25,154.6369,37.9186
18.5,236.1393,36.813900000000004
18.75,303.97700000000003,27.91169
19.0,374.351,26.881050000000002
19.25,448.998,25.969990000000003
19.5,477.846,30.637999999999998
19.75,481.827,31.1196
20.0,495.081,31.7023
20.25,509.283,28.750809999999998
20.5,515.892,26.188809999999997
20.75,515.454,30.9266
21.0,510.04599999999994,30.022130000000004
21.25,516.543,25.45803
21.5,521.7629999999999,34.9948
21.75,506.60699999999997,39.0697
22.0,509.419,44.5417
22.25,499.464,42.163199999999996
22.5,487.39300000000003,40.5482
22.75,481.464,40.331599999999995
23.0,491.87199999999996,38.4229
23.25,481.105,40.6463
23.5,484.98,41.5784
23.75,481.299,38.5475
24.0,463.12,42.682500000000005
24.25,471.90100000000007,49.9708
24.5,461.211,51.568799999999996
24.75,455.732,45.5762
25.0,461.836,41.51
25.25,453.39300000000003,39.775800000000004
25.5,458.578,38.0361
25.75,467.87199999999996,36.9274
26.0,473.427,45.7964
26.25,470.56600000000003,38.345800000000004
26.5,469.986,44.556400000000004
26.75,457.283,33.9675
27.0,439.665,31.901599999999995
27.25,447.53499999999997,30.127499999999998
27.5,455.578,29.431400000000004
27.75,451.861,33.0822
28.0,445.939,34.7564
28.25,451.42499999999995,34.3485
28.5,430.09000000000003,33.8364
28.75,421.342,32.8254
29.0,415.999,28.95737
29.25,408.817,26.458550000000002
29.5,430.90700000000004,36.193299999999994
29.75,388.696,27.069679999999998
30.0,386.606,30.122
30.25,409.024,37.452200000000005
30.5,416.81600000000003,34.8148
30.75,427.566,28.56387
31.0,417.74399999999997,40.4839
31.25,412.16499999999996,36.8544
31.5,392.27700000000004,54.7506
31.75,440.327,60.518
32.0,377.4,63.1998
32.25,450.18,82.4505
32.5,423.688,106.78490000000001
32.75,411.617,128.8181
33.0,578.0989999999999,175.25029999999998
33.25,530.118,178.49200000000002
33.5,431.43,178.64600000000002
33.75,490.43600000000004,173.0554
34.0,244.2579,147.88010000000003
34.25,344.672,209.98430000000002
34.5,212.08459999999997,218.1765
34.75,253.98219999999998,251.471
35.0,261.28319999999997,280.2579
35.25,189.3225,271.1542
35.5,224.2965,291.5852
35.75,183.4804,289.4301
36.0,132.4529,295.0485
36.25,138.48329999999999,286.0729
36.5,85.1932,262.1721
36.75,105.1172,251.5609
37.0,115.21209999999999,251.636
37.25,16.796110000000002,244.07959999999997
37.5,-7.59257,240.6556
37.75,-40.165800000000004,245.55540000000002
38.0,-146.9955,225.55919999999998
38.25,-112.7658,232.8231
38.5,-70.0335,228.8216
38.75,-236.04449999999997,172.17430000000002
39.0,-351.34999999999997,121.00650000000002
39.25,-353.545,117.89070000000001
39.5,-381.224,109.4624
39.75,-369.35900000000004,101.71509999999999
40.0,-332.72,97.29410000000001
40.25,-286.5635,93.6745
40.5,-236.8051,81.0021
40.75,-192.3708,81.5781
41.0,-129.5364,79.0301
41.25,-1.587647,95.0424
41.5,-26.225009999999997,57.6453
41.75,39.2197,56.8646
42.0,95.31230000000001,49.414500000000004
42.25,176.52089999999998,43.7758
42.5,264.1332,41.6163
42.75,365.098,43.3669
43.0,480.126,43.0351
43.25,545.087,47.066
43.5,560.4689999999999,50.779199999999996
43.75,563.101,44.7066
44.0,583.312,37.6061
44.25,583.896,34.2836
44.5,579.3820000000001,30.8933
