Hora_decimal,P_3f_S,Q_3f_S
0.0,9.50624e-13,1.26779e-12
0.25,9.50624e-13,1.26779e-12
0.5,-2.428680000000001e-13,7.02332e-13
0.75,4.1236729e-13,1.4720629999999998e-12
1.0,8.690714099999999e-13,1.078307e-12
1.25,4.2202400000000004e-13,-1.1904999999999938e-14
1.5,-1.8231e-13,1.37284506e-12
1.75,-3.68039e-13,1.0310164999999999e-13
2.0,5.56127e-13,1.37893e-12
2.25,-1.087562e-12,1.786037e-12
2.5,1.0213630000000001e-12,2.8364030000000004e-12
2.75,7.780560000000001e-13,1.1572460000000003e-12
3.0,1.5384000000000018e-14,1.370575e-12
3.25,-7.3734672e-13,1.0006399999999997e-13
3.5,-2.761199999999999e-14,-9.862031e-14
3.75,1.319558e-12,1.2711219999999999e-12
4.0,7.18452e-13,5.925e-13
4.25,5.206300000000002e-14,2.259876e-12
4.5,1.4706930000000002e-12,-5.1777e-13
4.75,-5.583030000000001e-13,7.903829999999999e-13
5.0,2.1291e-13,1.36897175e-12
5.25,-1.3127790999999998e-13,-1.179487e-12
5.5,2.12335e-13,1.36991022e-12
5.75,-3.41209e-13,2.01405e-13
6.0,2.0452000000000002e-13,6.8463306e-13
6.25,9.084870000000001e-13,2.553532e-12
6.5,39.6576,0.000541937
6.75,57.1344,0.000311868
7.0,75.102,0.00042615000000000003
7.25,101.44680000000001,0.0007856800000000001
7.5,127.5744,0.000818161
7.75,153.9864,0.001285348
8.0,180.4605,-8.50186e-05
8.25,215.8404,0.002228607
8.5,251.36610000000002,0.00039087299999999997
8.75,287.4855,0.0005693849999999999
9.0,324.387,0.000869795
9.25,354.669,0.000975629
9.5,384.813,0.0012238120000000001
9.75,414.73800000000006,0.001559295
10.0,444.396,0.0017733510000000003
10.25,467.90100000000007,0.001747153
10.5,490.983,0.002281386
10.75,513.7860000000001,0.002127881
11.0,536.313,0.002351643
11.25,558.0600000000001,0.002870194
11.5,579.366,0.002958759
11.75,600.408,0.0027263269999999997
12.0,621.285,0.00396657
12.25,622.284,-0.002251435
12.5,622.8389999999999,-0.0002850085
12.75,623.0699999999999,0.001673921
13.0,623.091,-0.0008008539999999999
13.25,598.9110000000001,-0.002805999
13.5,574.167,-0.00367368
13.75,548.832,-0.003561
14.0,522.957,-0.002560263
14.25,552.357,0.00332624
14.5,581.0070000000001,0.0041018800000000005
14.75,608.847,0.00458565
15.0,635.67,0.0049375
15.25,588.66,-0.0074622
15.5,540.279,-0.0051869
15.75,490.49699999999996,-0.00425519
16.0,439.845,-0.0030830799999999998
16.25,420.942,-0.001091139
16.5,401.289,-0.000787266
16.75,380.88,-0.00336853
17.0,359.541,-0.001613125
17.25,318.318,-0.000888528
17.5,276.3585,-0.00057989
17.75,233.9511,-0.002933557
18.0,190.9272,-0.0002028857
18.25,147.5622,-0.0016310819999999998
18.5,105.3192,-5.09062e-05
18.75,66.4854,-0.000542727
19.0,36.2187,-0.0001373293
