Hora_decimal,P_3f_S,Q_3f_S
0.0,2.853167,14.75502
0.25,2.853167,14.75502
0.5,2.854154,14.76013
0.75,2.854028,14.75948
1.0,2.8544,14.761400000000002
1.25,2.853725,14.757909999999999
1.5,2.854268,14.76071
1.75,2.854403,14.761410000000001
2.0,2.855123,14.76514
2.25,2.854871,14.763829999999999
2.5,2.854979,14.764389999999999
2.75,2.855234,14.76571
3.0,2.8541499999999997,14.7601
3.25,2.8546760000000004,14.762830000000001
3.5,2.854627,14.76257
3.75,2.853657,14.75755
4.0,2.853392,14.75618
4.25,2.8526350000000003,14.75227
4.5,2.8527500000000003,14.752869999999998
4.75,2.853721,14.75788
5.0,2.856491,14.77221
5.25,2.858594,14.783090000000001
5.5,2.8599520000000003,14.7901
5.75,2.86201,14.80075
6.0,2.863897,14.8105
6.25,2.863566,14.80879
6.5,-36.7674,14.925270000000001
6.75,-54.2179,15.03628
7.0,-72.14920000000001,15.188199999999998
7.25,-98.42379999999999,15.48081
7.5,-124.46209999999999,15.85162
7.75,-150.7635,16.310650000000003
8.0,-177.1065,16.85464
8.25,-212.2794,17.70887
8.5,-247.5621,18.71508
8.75,-283.3977,19.885350000000003
9.0,-319.96799999999996,21.24548
9.25,-349.955,22.47606
9.5,-379.776,23.805410000000002
9.75,-409.355,25.228609999999996
10.0,-438.646,26.738210000000002
10.25,-461.843,28.007289999999998
10.5,-484.60699999999997,29.31392
10.75,-507.084,30.6645
11.0,-529.273,32.056200000000004
11.25,-550.681,33.4535
11.5,-571.64,34.8732
11.75,-592.33,36.330200000000005
12.0,-612.8439999999999,37.8218
12.25,-613.825,37.9001
12.5,-614.37,37.9418
12.75,-614.597,37.9566
13.0,-614.615,37.963300000000004
13.25,-590.857,36.2337
13.5,-566.525,34.5325
13.75,-541.5939999999999,32.8633
14.0,-516.1179999999999,31.229800000000004
14.25,-545.067,33.085
14.5,-573.251,34.9908
14.75,-600.622,36.9292
15.0,-626.971,38.8828
15.25,-580.777,35.5272
15.5,-533.1759999999999,32.3174
15.75,-484.129,29.29056
16.0,-434.153,26.49629
16.25,-415.485,25.52313
16.5,-396.0659999999999,24.56078
16.75,-375.889,23.61287
17.0,-354.78000000000003,22.66723
17.25,-313.96000000000004,20.99096
17.5,-272.3657,19.48896
17.75,-230.27570000000003,18.18046
18.0,-187.5222,17.0574
18.25,-144.3746,16.15866
18.5,-102.2926,15.48784
18.75,-63.5591,15.069919999999998
19.0,-33.3402,14.868549999999999
19.25,2.856446,14.77198
19.5,2.8565899999999997,14.77272
19.75,2.854592,14.76239
20.0,2.8533049999999998,14.75573
20.25,2.852951,14.7539
20.5,2.8530379999999997,14.754350000000002
20.75,2.8530740000000003,14.754539999999999
21.0,2.853172,14.75504
21.25,2.853856,14.758580000000002
21.5,2.8523,14.750539999999999
21.75,2.8517770000000002,14.74783
22.0,2.85187,14.74831
22.25,2.8522809999999996,14.750440000000001
22.5,2.851952,14.748740000000002
22.75,2.8531999999999997,14.755189999999999
23.0,2.853275,14.75558
23.25,2.852435,14.75124
23.5,2.853106,14.7547
23.75,2.853172,14.75504
24.0,2.85163,14.74707
24.25,2.850691,14.74221
24.5,2.850334,14.740359999999999
24.75,2.851399,14.74588
25.0,2.853184,14.755109999999998
25.25,2.853001,14.75416
25.5,2.853506,14.75677
25.75,2.853832,14.75846
26.0,2.85356,14.75705
26.25,2.853215,14.75527
26.5,2.853343,14.75593
26.75,2.8540850000000004,14.75977
27.0,2.854319,14.76098
27.25,2.855061,14.76482
27.5,2.855366,14.7664
27.75,2.8546069999999997,14.76247
28.0,2.8537220000000003,14.75789
28.25,2.852927,14.753779999999999
28.5,2.852774,14.75299
28.75,2.85344,14.75643
29.0,2.854423,14.761519999999999
29.25,2.8551919999999997,14.7655
29.5,2.855922,14.76927
29.75,2.858693,14.78359
30.0,2.859924,14.789959999999999
30.25,2.859246,14.786450000000002
30.5,2.8589569999999997,14.784970000000001
30.75,2.857967,14.77984
31.0,-40.2171,14.891479999999998
31.25,-78.578,15.18157
31.5,-113.96979999999999,15.583160000000001
31.75,-147.0554,16.09841
32.0,-179.2271,16.73123
32.25,-212.70730000000003,17.53631
32.5,-246.76779999999997,18.49868
32.75,-281.37440000000004,19.63233
33.0,-316.823,20.93279
33.25,-348.346,22.23638
33.5,-380.071,23.678849999999997
33.75,-411.879,25.25489
34.0,-443.7629999999999,26.952529999999996
34.25,-473.402,28.636570000000003
34.5,-502.722,30.4131
34.75,-531.723,32.2733
35.0,-560.303,34.2147
35.25,-576.3389999999999,35.3451
35.5,-591.928,36.47
35.75,-607.06,37.5871
36.0,-621.832,38.7018
36.25,-610.202,37.818400000000004
36.5,-597.757,36.8825
36.75,-584.623,35.9232
37.0,-570.734,34.9243
37.25,-577.927,35.4245
37.5,-584.815,35.909800000000004
37.75,-591.4300000000001,36.3833
38.0,-597.79,36.8343
38.25,-586.6569999999999,36.0286
38.5,-575.053,35.2089
38.75,-563.207,34.3672
39.0,-550.855,33.5108
39.25,-542.106,32.9265
39.5,-532.752,32.3083
39.75,-522.823,31.668599999999998
40.0,-512.185,30.992799999999995
40.25,-478.80600000000004,28.968760000000003
40.5,-444.525,27.028170000000003
40.75,-409.39199999999994,25.1857
41.0,-373.251,23.45206
41.25,-332.981,21.695
41.5,-291.8963,20.128439999999998
41.75,-249.9539,18.71785
42.0,-206.93040000000002,17.49282
42.25,-168.22629999999998,16.58504
42.5,-127.09190000000001,15.8086
42.75,-81.9776,15.20113
43.0,-28.805449999999997,14.799959999999999
43.25,2.857195,14.71925
43.5,2.845573,14.71716
43.75,2.846722,14.71706
44.0,2.8477959999999998,14.71703
44.25,2.845954,14.72154
44.5,2.846462,14.72417
44.75,2.847125,14.730140000000002
45.0,2.848198,14.729320000000001
45.25,2.8466579999999997,14.72136
45.5,2.844645,14.71095
45.75,2.843452,14.70477
46.0,2.844062,14.70794
46.25,2.844826,14.71188
46.5,2.845954,14.71772
46.75,2.845883,14.71736
47.0,2.8467640000000003,14.72192
47.25,2.8468,14.7221
47.5,2.846557,14.720839999999999
47.75,2.846158,14.71877
48.0,2.8470940000000002,14.72361
48.25,2.847025,14.72325
