Segmento,Year,LDCurve,Hour,Meter,kWh,kvarh,Max kW,Max kVA,Zone kWh,Zone kvarh,Zone Max kW,Zone Max kVA,Overload kWh Normal,Overload kWh Emerg,Load EEN,Load UE,Zone Losses kWh,Zone Losses kvarh,Zone Max kW Losses,Zone Max kvar Losses,Load Losses kWh,Load Losses kvarh,No Load Losses kWh,No Load Losses kvarh,Max kW Load Losses,Max kW No Load Losses,Line Losses,Transformer Losses,Line Mode Line Losses,Zero Mode Line Losses,3-phase Line Losses,1- and 2-phase Line Losses,Gen kWh,Gen kvarh,Gen Max kW,Gen Max kVA,13.8 kV Losses,Aux1,Aux6,Aux11,Aux16,Aux21,Aux26,13.8 kV Line Loss,Aux2,Aux7,Aux12,Aux17,Aux22,Aux27,13.8 kV Load Loss,Aux3,Aux8,Aux13,Aux18,Aux23,Aux28,13.8 kV No Load Loss,Aux4,Aux9,Aux14,Aux19,Aux24,Aux29,13.8 kV Load Energy,Aux5,Aux10,Aux15,Aux20,Aux25,Aux30
S00000_FORA_PONTA,0, ,41.0," ""GERAL""       ",30467.0,8199.0,1757.0,1791.0,56187.0,8733.0,2977.0,3009.0,0.0,0.0,2732.0,2369.0,4570.0,11854.0,126.0,354.0,377.0,-233.0,4193.0,12088.0,27.0,102.0,71.0,4499.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,4570.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,4193.0,0.0,0.0,0.0,0.0,0.0,0.0,56187.0,0.0,0.0,0.0,0.0,0.0,0.0
S00001_PONTA,0, ,44.0," ""GERAL""       ",3883.0,402.0,1480.0,1485.0,4056.0,508.0,1389.0,1402.0,0.0,0.0,196.0,170.0,310.0,780.0,105.0,268.0,10.0,-84.0,300.0,864.0,5.0,100.0,4.0,305.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,4056.0,0.0,0.0,0.0,0.0,0.0,0.0
S00002_FORA_PONTA,0, ,65.0," ""GERAL""       ",20357.0,4599.0,1575.0,1602.0,34115.0,4773.0,2590.0,2609.0,0.0,0.0,1374.0,1192.0,2319.0,6040.0,126.0,348.0,217.0,-21.0,2102.0,6061.0,26.0,101.0,42.0,2277.0,42.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,2319.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.0,0.0,0.0,0.0,0.0,0.0,0.0,34115.0,0.0,0.0,0.0,0.0,0.0,0.0
S00003_PONTA,0, ,68.0," ""GERAL""       ",3412.0,358.0,1352.0,1356.0,3664.0,467.0,1282.0,1294.0,0.0,0.0,196.0,170.0,309.0,780.0,106.0,271.0,9.0,-86.0,300.0,866.0,5.0,101.0,3.0,306.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,0.0,0.0,0.0,0.0,0.0,0.0
S00004_FORA_PONTA,0, ,137.0," ""GERAL""       ",47438.0,12091.0,1854.0,1877.0,88146.0,13072.0,3098.0,3114.0,0.0,0.0,4520.0,3919.0,7540.0,19511.0,128.0,355.0,605.0,-485.0,6936.0,19996.0,28.0,102.0,124.0,7416.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,7540.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,6936.0,0.0,0.0,0.0,0.0,0.0,0.0,88146.0,0.0,0.0,0.0,0.0,0.0,0.0
S00005_PONTA,0, ,140.0," ""GERAL""       ",3905.0,364.0,1461.0,1465.0,4177.0,468.0,1551.0,1561.0,0.0,0.0,196.0,170.0,310.0,783.0,106.0,273.0,10.0,-81.0,300.0,864.0,6.0,100.0,4.0,306.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,4177.0,0.0,0.0,0.0,0.0,0.0,0.0
S00006_FORA_PONTA,0, ,161.0," ""GERAL""       ",25500.0,4767.0,1932.0,1961.0,39231.0,4875.0,3151.0,3170.0,0.0,0.0,1373.0,1191.0,2330.0,6090.0,129.0,356.0,234.0,46.0,2096.0,6044.0,28.0,100.0,47.0,2283.0,47.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,2330.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.0,0.0,0.0,0.0,0.0,0.0,0.0,39231.0,0.0,0.0,0.0,0.0,0.0,0.0
S00007_PONTA,0, ,164.0," ""GERAL""       ",4081.0,378.0,1477.0,1480.0,4253.0,483.0,1624.0,1634.0,0.0,0.0,196.0,170.0,310.0,781.0,105.0,269.0,10.0,-83.0,300.0,863.0,5.0,100.0,4.0,305.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,4253.0,0.0,0.0,0.0,0.0,0.0,0.0
S00008_FORA_PONTA,0, ,185.0," ""GERAL""       ",27106.0,4468.0,1901.0,1917.0,38845.0,4698.0,2942.0,2956.0,0.0,0.0,1373.0,1191.0,2297.0,5965.0,127.0,351.0,202.0,-75.0,2095.0,6040.0,27.0,100.0,44.0,2253.0,44.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,2297.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,2095.0,0.0,0.0,0.0,0.0,0.0,0.0,38845.0,0.0,0.0,0.0,0.0,0.0,0.0
S00009_PONTA,0, ,188.0," ""GERAL""       ",4088.0,501.0,1521.0,1527.0,4351.0,603.0,1648.0,1664.0,0.0,0.0,196.0,170.0,310.0,784.0,106.0,273.0,11.0,-79.0,299.0,863.0,6.0,100.0,4.0,306.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,4351.0,0.0,0.0,0.0,0.0,0.0,0.0
