MES,DMFP (kW),DMP (kW),CFP_rede (kWh),CP_rede (kWh),Inj_FP (kWh),Inj_P (kWh),DemMax_Inj_FP (kW),DemMax_Inj_P (kW),Credito_ini_FP (kWh),Credito_ini_P (kWh),Comp_FP (kWh),Comp_P (kWh),CFP_fat (kWh),CP_fat (kWh),Excedente_FP (kWh),Excedente_P (kWh),Credito_fim_FP (kWh),Credito_fim_P (kWh),UFP (kW),UP (kW),DCFP_c (kW),DCP_c (kW),"DCFP (R$32,84)","DCP  (R$83,34)","DCFP_c (R$27,26)","DCP_c  (R$69,17)","UFP  (R$65,68)","UP   (R$166,68)","CFP_rede (R$0,15) TUSD","CP_rede  (R$0,15) TUSD","Credito_FP (R$0,29) TE","Credito_P  (R$0,46) TE",CFP_fat (R$ TE Liquido),CP_fat  (R$ TE Liquido),R$TOTAL_MES
JAN,3358,2072,904096.0,102094.0,18420.0,0.0,852,0,0.0,0.0,18420.0,0.0,885676.0,102094.0,0.0,0.0,0.0,0.0,0.0,0.0,1917.0,1093.0,110276.72,172680.48,52257.42,75602.81,0.0,0.0,135614.4,15314.1,5341.8,0.0,329173.72,60235.46,951155.11
FEV,4195,2347,1042031.0,109645.0,9231.0,0.0,756,0,0.0,0.0,9231.0,0.0,1032800.0,109645.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,818.0,137763.8,195598.98,29440.8,56581.06,0.0,0.0,156304.65,16446.75,2676.99,0.0,382874.48,64690.55,1039701.07
MAR,4691,2818,1119753.0,127338.0,12179.0,0.0,838,0,0.0,0.0,12179.0,0.0,1107574.0,127338.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,347.0,154052.44,234852.12,15919.84,24001.99,0.0,0.0,167962.95,19100.7,3531.91,0.0,410776.7,75129.42,1101796.16
ABR,3145,2225,835424.0,111644.0,23147.0,0.0,991,0,0.0,0.0,23147.0,0.0,812277.0,111644.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,940.0,103281.8,185431.5,58063.8,65019.8,0.0,0.0,125313.6,16746.6,6712.63,0.0,302394.25,65869.96,922121.31
MAI,3362,2652,953023.0,122597.0,16875.0,0.0,767,0,0.0,0.0,16875.0,0.0,936148.0,122597.0,0.0,0.0,0.0,0.0,0.0,0.0,1913.0,513.0,110408.08,221017.68,52148.38,35484.21,0.0,0.0,142953.45,18389.55,4893.75,0.0,347724.76,72332.23,1000458.34
JUN,4330,2800,1137378.0,132694.0,3127.0,0.0,588,0,0.0,0.0,3127.0,0.0,1134251.0,132694.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,365.0,142197.2,233352.0,25760.7,25247.05,0.0,0.0,170606.7,19904.1,906.83,0.0,419923.03,78289.46,1115280.24
JUL,4172,3354,1079812.0,135040.0,5023.0,0.0,809,0,0.0,0.0,5023.0,0.0,1074789.0,135040.0,0.0,0.0,0.0,0.0,0.0,189.0,1103.0,0.0,137008.48,279522.36,30067.78,0.0,0.0,31502.52,161971.8,20256.0,1456.67,0.0,398073.77,79673.6,1138076.31
AGO,3226,2512,979694.0,125887.0,16576.0,0.0,840,0,0.0,0.0,16576.0,0.0,963118.0,125887.0,0.0,0.0,0.0,0.0,0.0,0.0,2049.0,653.0,105941.84,209350.08,55855.74,45168.01,0.0,0.0,146954.1,18883.05,4807.04,0.0,357679.74,74273.33,1014105.89
SET,2793,2204,845282.0,123376.0,8943.0,0.0,795,0,0.0,0.0,8943.0,0.0,836339.0,123376.0,0.0,0.0,0.0,0.0,0.0,0.0,2482.0,961.0,91722.12,183681.36,67659.32,66472.37,0.0,0.0,126792.3,18506.4,2593.47,0.0,310160.87,72791.84,937786.58
OUT,3162,2341,822557.0,125470.0,12492.0,0.0,986,0,0.0,0.0,12492.0,0.0,810065.0,125470.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.0,824.0,103840.08,195098.94,57600.38,56996.08,0.0,0.0,123383.55,18820.5,3622.68,0.0,300723.41,74027.3,930490.24
NOV,4423,2908,869273.0,113739.0,17727.0,0.0,1057,0,0.0,0.0,17727.0,0.0,851546.0,113739.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,257.0,145251.32,242352.72,23225.52,17776.69,0.0,0.0,130390.95,17060.85,5140.83,0.0,316490.18,67106.01,959654.24
DEZ,4109,2632,916099.0,114037.0,15692.0,0.0,837,0,0.0,0.0,15692.0,0.0,900407.0,114037.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.0,533.0,134939.56,219350.88,31785.16,36867.61,0.0,0.0,137414.85,17105.55,4550.68,0.0,334405.95,67281.83,979151.39
TOTAIS,4691,3354,11504422.0,1443561.0,159432.0,0.0,,,,,159432.0,0.0,11344990.0,1443561.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,12089776.88
