Hora_decimal,P_3f_S,Q_3f_S
0.0,181.90789999999998,105.6736
0.25,181.90789999999998,105.6736
0.5,161.0089,96.3528
0.75,171.71970000000002,97.0332
1.0,178.9123,101.17180000000002
1.25,185.8334,105.5968
1.5,196.98930000000001,109.0068
1.75,184.6798,102.5036
2.0,184.6081,101.4325
2.25,184.9452,101.53630000000001
2.5,178.20510000000002,103.00800000000001
2.75,176.8038,102.06540000000001
3.0,171.9291,101.64479999999999
3.25,172.5991,99.7575
3.5,181.449,102.5197
3.75,180.3831,103.0224
4.0,179.4501,105.505
4.25,173.6209,102.96600000000001
4.5,179.4531,106.8424
4.75,165.3067,100.59419999999999
5.0,174.6544,100.9926
5.25,157.9786,92.4135
5.5,170.3254,94.66929999999999
5.75,156.57240000000002,93.90480000000001
6.0,152.5716,93.2046
6.25,154.8357,93.5127
6.5,71.2222,91.92920000000001
6.75,32.823699999999995,88.9295
7.0,-3.42922,91.311
7.25,-53.8326,91.0195
7.5,-95.89909999999999,97.22219999999999
7.75,-145.1683,97.0308
8.0,-220.0294,97.16720000000001
8.25,-291.7617,98.48240000000001
8.5,-352.34799999999996,103.81750000000001
8.75,-417.076,106.24779999999998
9.0,-492.46500000000003,105.3461
9.25,-546.8530000000001,109.628
9.5,-591.9820000000001,117.6674
9.75,-632.329,128.2917
10.0,-687.0129999999999,130.7741
10.25,-737.438,131.7709
10.5,-814.339,124.6121
10.75,-858.1659999999999,127.2259
11.0,-889.5669999999999,131.87030000000001
11.25,-915.0049999999999,143.1681
11.5,-960.0110000000001,141.9614
11.75,-991.653,145.61430000000001
12.0,-1031.895,149.0868
12.25,-1034.7830000000001,148.9246
12.5,-1040.1480000000001,148.3943
12.75,-1049.433,145.6911
13.0,-1055.916,144.9323
13.25,-1009.6469999999999,143.9607
13.5,-939.0699999999999,144.89549999999997
13.75,-880.607,143.8341
14.0,-844.2489999999999,133.2663
14.25,-898.7710000000001,135.57260000000002
14.5,-964.316,136.3792
14.75,-1012.5140000000001,143.4259
15.0,-1057.152,148.32580000000002
15.25,-977.0809999999999,136.4907
15.5,-885.5020000000001,136.0378
15.75,-780.0529999999999,137.1541
16.0,-683.6089999999999,128.1036
16.25,-623.1610000000001,136.0174
16.5,-599.7529999999999,123.9103
16.75,-578.798,116.05959999999999
17.0,-534.4699999999999,113.67439999999999
17.25,-460.13199999999995,108.45409999999998
17.5,-372.951,107.7138
17.75,-276.8408,105.6212
18.0,-196.27090000000004,103.81649999999999
18.25,-119.9711,99.2439
18.5,-30.1381,101.22559999999999
18.75,35.8077,93.18140000000001
19.0,97.27369999999999,93.4423
19.25,170.2847,94.2757
19.5,179.8863,95.6922
19.75,177.3209,97.21409999999999
20.0,202.3207,104.7491
20.25,197.5972,100.89489999999999
20.5,194.1113,99.64090000000002
20.75,189.10399999999998,97.48119999999999
21.0,176.77700000000002,93.40950000000001
21.25,182.9258,92.8598
21.5,188.9801,97.4275
21.75,176.678,97.23989999999999
22.0,198.92180000000002,105.5186
22.25,189.3713,101.5198
22.5,185.77249999999998,102.7969
22.75,181.2887,99.7135
23.0,172.6433,95.8824
23.25,170.2597,96.7503
23.5,179.6246,102.7141
23.75,183.0323,100.04680000000002
24.0,178.8918,102.44209999999998
24.25,180.0509,105.62180000000001
24.5,177.9905,106.2632
24.75,171.03140000000002,102.05770000000001
25.0,183.1413,103.09540000000001
25.25,180.9339,102.8422
25.5,177.2771,98.8287
25.75,175.99540000000002,98.34299999999999
26.0,193.65800000000002,106.0321
26.25,186.6146,100.6942
26.5,193.3071,106.6336
26.75,183.5567,98.34280000000001
27.0,178.8093,98.52929999999999
27.25,193.1205,100.26250000000002
27.5,199.2405,99.71039999999999
27.75,186.1718,98.2348
28.0,186.18200000000002,100.3045
28.25,181.2302,99.98799999999999
28.5,177.341,99.2799
28.75,173.8557,99.6087
29.0,163.0675,96.42250000000001
29.25,160.7353,94.5869
29.5,177.47310000000002,98.06209999999999
29.75,153.4153,92.6883
30.0,159.13,96.79750000000001
30.25,163.7559,97.38869999999999
30.5,170.31470000000002,97.88719999999999
30.75,175.897,94.67009999999999
31.0,150.2451,106.59979999999999
31.25,124.1456,102.4965
31.5,43.7466,114.5002
31.75,60.000299999999996,120.625
32.0,-6.69825,121.3374
32.25,39.5294,134.2846
32.5,8.31993,153.00469999999999
32.75,-36.0035,172.9214
33.0,111.85640000000001,212.6369
33.25,33.1109,217.9331
33.5,-89.4562,204.79829999999998
33.75,2.3786329999999998,201.003
34.0,-260.1086,176.91340000000002
34.25,-148.83499999999998,239.007
34.5,-260.7881,244.79610000000002
34.75,-191.90789999999998,272.2902
35.0,-210.4167,292.7551
35.25,-281.3786,282.7221
35.5,-255.5727,305.96799999999996
35.75,-278.5741,308.605
36.0,-313.08000000000004,318.198
36.25,-302.15999999999997,312.907
36.5,-343.516,286.9766
36.75,-334.266,281.3822
37.0,-276.83579999999995,283.6841
37.25,-361.025,281.8739
37.5,-390.21200000000005,275.8345
37.75,-360.243,284.2716
38.0,-471.28099999999995,264.4063
38.25,-442.616,269.5817
38.5,-423.749,260.0233
38.75,-592.196,203.2658
39.0,-721.725,156.86409999999998
