Hora_decimal,P_3f_S,Q_3f_S
0.0,8.65298,17.16305
0.25,8.65298,17.16305
0.5,7.37457,16.53571
0.75,8.1359,16.54766
1.0,8.72042,16.96299
1.25,9.29627,17.26777
1.5,9.56096,17.34148
1.75,8.52425,16.683980000000002
2.0,8.46042,16.60496
2.25,8.81732,16.749470000000002
2.5,8.647369999999999,17.03168
2.75,8.64761,16.97111
3.0,8.16581,16.93338
3.25,8.25901,16.76084
3.5,8.33104,16.700969999999998
3.75,8.25461,16.723499999999998
4.0,8.018180000000001,16.873890000000003
4.25,7.9173,16.786730000000002
4.5,8.56433,17.30921
4.75,7.65659,16.80883
5.0,8.39041,16.886850000000003
5.25,7.29644,16.28767
5.5,8.05659,16.401320000000002
5.75,7.34055,16.42246
6.0,7.23956,16.46483
6.25,7.7405100000000004,16.55136
6.5,-31.4028,16.68737
6.75,-48.7954,16.72144
7.0,-66.582,16.87396
7.25,-92.3947,17.17141
7.5,-117.8771,17.65115
7.75,-143.7074,18.04896
8.0,-171.5696,18.45153
8.25,-206.2263,19.34813
8.5,-240.1286,20.73644
8.75,-275.0021,21.94863
9.0,-311.136,22.9071
9.25,-340.479,24.0995
9.5,-369.558,25.42062
9.75,-397.66900000000004,27.34852
10.0,-426.427,28.75848
10.25,-449.44,29.98583
10.5,-473.942,30.6642
10.75,-496.01200000000006,31.9599
11.0,-516.917,33.4135
11.25,-537.027,35.4189
11.5,-558.423,36.2583
11.75,-578.332,37.643
12.0,-598.558,39.0961
12.25,-599.703,39.0998
12.5,-599.9580000000001,39.3791
12.75,-600.823,39.1933
13.0,-601.297,39.138400000000004
13.25,-578.113,37.6541
13.5,-552.8199999999999,36.1824
13.75,-527.772,34.58
14.0,-503.617,32.4491
14.25,-531.955,34.2037
14.5,-559.867,36.0991
14.75,-586.363,38.2092
15.0,-611.982,40.128
15.25,-566.9590000000001,36.594300000000004
15.5,-520.708,33.6934
15.75,-472.029,31.1274
16.0,-422.86600000000004,28.173010000000005
16.25,-402.692,28.03618
16.5,-384.43600000000004,26.376439999999995
16.75,-365.395,25.10412
17.0,-344.302,24.159489999999998
17.25,-304.45000000000005,22.4348
17.5,-263.1536,21.125619999999998
17.75,-220.85320000000002,19.75739
18.0,-179.2754,18.58745
18.25,-137.2171,17.673389999999998
18.5,-95.3401,17.12849
18.75,-57.13289999999999,16.578049999999998
19.0,-27.32484,16.36035
19.25,8.43274,16.30961
19.5,8.77886,16.28109
19.75,8.1869,16.284129999999998
20.0,9.43177,16.51578
20.25,9.113029999999998,16.302419999999998
20.5,8.65032,16.157670000000003
20.75,9.03546,16.27986
21.0,8.39655,16.3015
21.25,9.05932,16.32636
21.5,9.32506,16.55716
21.75,8.3399,16.47003
22.0,9.43777,16.86184
22.25,8.76889,16.59384
22.5,8.44468,16.66953
22.75,8.45036,16.58961
23.0,8.13486,16.453899999999997
23.25,7.97978,16.520789999999998
23.5,8.641580000000001,16.90904
23.75,8.96901,16.713160000000002
24.0,7.85201,16.6333
24.25,8.06036,16.90674
24.5,7.825519999999999,16.94914
24.75,7.718589999999999,16.84711
25.0,8.97779,17.057209999999998
25.25,8.92825,17.068
25.5,8.573820000000001,16.726190000000003
25.75,8.566849999999999,16.731749999999998
26.0,9.294170000000001,17.10652
26.25,8.63881,16.603920000000002
26.5,9.13325,17.08456
26.75,8.61672,16.49379
27.0,8.29971,16.6341
27.25,8.10239,16.55265
27.5,8.15288,16.422
27.75,7.43396,16.42923
