Hora_decimal,P_3f_S,Q_3f_S
0.0,1222.895,160.1172
0.25,1222.895,160.1172
0.5,1204.238,149.3907
0.75,1203.023,151.7424
1.0,1207.97,144.8885
1.25,1211.696,156.4247
1.5,1204.226,151.4481
1.75,1202.9810000000002,147.7125
2.0,1190.566,142.8637
2.25,1195.547,143.5668
2.5,1193.1109999999999,141.89260000000002
2.75,1191.837,138.4438
3.0,1194.316,154.4069
3.25,1185.599,149.9607
3.5,1189.352,149.4967
3.75,1195.5410000000002,162.328
4.0,1199.2939999999999,165.76839999999999
4.25,1210.463,171.93009999999998
4.5,1185.662,183.5043
4.75,1178.18,168.1631
5.0,1157.113,133.3702
5.25,1137.203,105.023
5.5,1094.8980000000001,106.15429999999999
5.75,1017.8409999999999,109.5029
6.0,976.777,99.1979
6.25,985.447,101.88579999999999
6.5,866.7,102.2602
6.75,819.808,102.3217
7.0,764.073,108.6666
7.25,689.1129999999999,113.9943
7.5,633.5319999999999,117.37150000000001
7.75,559.8309999999999,119.299
8.0,462.724,146.2613
8.25,357.105,149.3353
8.5,257.2333,162.50809999999998
8.75,172.0961,178.5564
9.0,70.9753,160.924
9.25,-18.29438,168.3893
9.5,-100.90910000000001,175.3971
9.75,-189.1641,180.1047
10.0,-253.98540000000003,193.58659999999998
10.25,-319.78,197.5997
10.5,-389.98900000000003,206.053
10.75,-446.176,205.54579999999999
11.0,-490.868,209.981
11.25,-560.289,222.85410000000002
11.5,-622.434,214.9646
11.75,-637.533,230.4264
12.0,-704.221,248.30740000000003
12.25,-692.2090000000001,238.005
12.5,-665.0699999999999,244.9785
12.75,-680.673,250.5326
13.0,-613.2959999999999,246.0975
13.25,-601.959,243.6938
13.5,-529.299,226.5394
13.75,-417.388,222.35250000000002
14.0,-363.598,203.31010000000003
14.25,-421.183,218.6182
14.5,-500.395,225.61109999999996
14.75,-586.9159999999999,222.293
15.0,-644.398,239.2106
15.25,-486.197,212.57
15.5,-350.41499999999996,211.5735
15.75,-191.3615,219.11960000000002
16.0,-44.4853,218.0404
16.25,54.035,233.92659999999998
16.5,87.9572,223.9708
16.75,140.1811,199.2693
17.0,211.1545,184.1058
17.25,321.848,169.6695
17.5,437.288,152.86180000000002
17.75,558.148,143.7595
18.0,712.994,144.5613
18.25,824.5060000000001,131.3864
18.5,946.5430000000001,138.7845
18.75,1033.9589999999998,128.8122
19.0,1117.882,117.8154
19.25,1215.512,111.09209999999999
19.5,1227.88,105.2635
19.75,1278.845,112.12119999999999
20.0,1327.215,109.92330000000001
20.25,1345.839,107.5599
20.5,1355.722,100.70230000000001
20.75,1339.41,108.9008
21.0,1335.455,108.2204
21.25,1334.2890000000002,97.87879999999998
21.5,1340.502,121.8203
21.75,1325.6609999999998,137.115
22.0,1314.7060000000001,142.55020000000002
22.25,1303.4009999999998,140.1257
22.5,1298.583,147.15879999999999
22.75,1273.718,138.1633
23.0,1281.05,133.5389
23.25,1282.272,146.3172
23.5,1274.835,138.4878
23.75,1268.712,140.0391
24.0,1277.528,158.503
24.25,1289.8940000000002,169.4206
24.5,1280.051,179.7254
24.75,1270.1390000000001,166.34380000000002
25.0,1251.527,147.00130000000001
25.25,1250.261,149.9973
25.5,1243.934,144.3527
25.75,1251.338,136.17180000000002
26.0,1246.461,144.3353
26.25,1261.313,141.5717
26.5,1251.47,145.474
26.75,1245.245,133.8129
27.0,1222.9160000000002,139.9655
27.25,1219.211,130.381
27.5,1221.6770000000001,124.39489999999998
27.75,1229.1109999999999,132.9294
28.0,1235.402,144.1261
28.25,1253.9950000000001,148.1423
28.5,1241.6390000000001,155.8041
28.75,1223.0,153.3466
29.0,1211.774,140.5056
29.25,1195.604,135.5228
29.5,1179.403,135.3589
29.75,1092.375,129.05020000000002
30.0,1059.996,126.3901
30.25,1079.868,130.7221
30.5,1102.243,124.00779999999999
30.75,1143.3519999999999,120.86510000000001
31.0,1148.902,144.3422
31.25,1196.627,138.7687
31.5,1331.6190000000001,172.0163
31.75,1507.893,191.1347
32.0,1630.772,219.2154
32.25,1729.7180000000003,239.37079999999997
32.5,1767.401,279.0028
32.75,1775.7869999999998,298.5552
33.0,1931.563,360.80699999999996
33.25,1957.525,367.029
33.5,1893.4389999999999,366.59499999999997
33.75,1788.1470000000002,344.164
34.0,1622.496,321.759
34.25,1688.042,394.271
34.5,1676.6299999999999,438.002
34.75,1591.9769999999999,469.501
35.0,1607.1970000000001,505.17499999999995
35.25,1528.1860000000001,501.43000000000006
35.5,1462.5810000000001,496.59700000000004
35.75,1393.599,499.68600000000004
36.0,1290.7669999999998,515.137
36.25,1263.0410000000002,501.187
36.5,1246.3690000000001,481.436
36.75,1260.779,461.347
37.0,1240.606,454.249
37.25,1113.1789999999999,449.60400000000004
37.5,1007.533,424.662
37.75,847.415,428.38300000000004
38.0,735.057,404.69399999999996
38.25,784.569,411.362
38.5,865.48,428.331
38.75,733.297,361.148
39.0,563.866,293.14390000000003
39.25,543.3050000000001,286.0674
39.5,531.673,280.5729
39.75,549.304,269.3009
40.0,556.3119999999999,254.7939
40.25,600.809,243.97629999999998
40.5,669.032,230.8284
40.75,723.533,228.75670000000002
41.0,717.586,209.72089999999997
41.25,827.9159999999999,227.56619999999998
41.5,787.009,170.5215
41.75,875.0239999999999,177.796
42.0,956.36,166.4183
42.25,1041.087,155.5791
42.5,1157.95,159.1753
42.75,1271.3180000000002,159.7862
43.0,1423.1180000000002,153.0967
43.25,1496.4859999999999,159.5418
43.5,1491.34,156.4194
43.75,1511.272,147.5026
44.0,1552.317,128.756
44.25,1543.4989999999998,117.5173
44.5,1529.833,114.0876
44.75,1511.128,104.0075
45.0,1503.727,110.2368
45.25,1513.63,133.01979999999998
45.5,1520.992,163.6362
45.75,1519.83,184.3666
46.0,1496.05,184.3735
46.25,1506.202,165.9057
46.5,1483.779,157.9796
46.75,1486.192,155.7833
47.0,1472.488,150.6369
47.25,1456.387,159.4651
47.5,1472.128,156.0965
47.75,1462.474,168.7268
48.0,1451.443,154.2513
48.25,1452.602,153.9499
48.5,1435.435,158.716
48.75,1433.999,172.1294
49.0,1427.818,180.1492
49.25,1434.107,172.90120000000002
49.5,1412.9479999999999,163.8398
49.75,1405.376,177.1913
50.0,1404.205,157.7194
50.25,1401.769,171.3937
50.5,1391.856,179.5244
50.75,1375.6260000000002,158.2322
51.0,1349.6589999999999,124.4272
51.25,1350.8709999999999,127.2221
51.5,1360.7939999999999,135.4897
51.75,1355.817,132.50169999999997
52.0,1349.6609999999998,142.68869999999998
52.25,1349.674,152.7331
52.5,1352.2430000000002,161.8805
52.75,1344.714,157.1146
53.0,1333.503,155.4705
53.25,1317.314,155.3384
53.5,1262.5190000000002,148.2302
53.75,1199.114,151.14589999999998
54.0,1187.849,156.2526
54.25,1196.576,153.44420000000002
54.5,1071.725,137.37040000000002
54.75,1058.422,148.8218
55.0,1145.017,151.1377
55.25,1202.729,167.52999999999997
55.5,1365.72,180.0336
55.75,1487.192,209.9403
56.0,1592.5420000000001,240.91809999999998
56.25,1722.2989999999998,271.447
56.5,1737.482,306.933
56.75,1706.3029999999999,304.044
57.0,1695.9889999999998,315.25800000000004
57.25,1616.3780000000002,305.203
57.5,1619.616,346.52599999999995
57.75,1530.175,330.796
58.0,1458.906,327.951
58.25,1418.31,349.59
58.5,1321.583,386.273
58.75,1233.751,379.898
59.0,1139.4920000000002,387.421
59.25,1072.921,376.694
59.5,978.636,378.19300000000004
59.75,872.564,370.17400000000004
60.0,780.569,393.384
60.25,768.056,383.952
60.5,749.748,385.49699999999996
60.75,651.127,380.35699999999997
61.0,567.867,354.398
61.25,456.336,357.653
61.5,321.23,329.975
61.75,261.6185,317.356
62.0,125.20320000000001,290.41999999999996
62.25,97.74180000000001,280.5397
62.5,70.7512,277.8894
62.75,70.8484,294.5126
63.0,56.243500000000004,287.8609
63.25,119.12,282.3542
63.5,152.4571,269.2717
63.75,169.6636,271.9592
64.0,238.4771,269.053
64.25,276.3946,251.7924
64.5,320.75600000000003,248.62830000000002
64.75,371.793,241.4803
65.0,414.474,215.9326
65.25,456.19,207.75019999999998
65.5,541.102,183.5565
65.75,640.899,173.85899999999998
66.0,728.8910000000001,159.6599
66.25,835.762,145.2179
66.5,968.349,144.97109999999998
66.75,1089.738,128.9955
