Hora_decimal,P_3f_S,Q_3f_S
0.0,2.850832,14.74295
0.25,2.850832,14.74295
0.5,2.85187,14.74832
0.75,2.851738,14.747630000000001
1.0,2.852131,14.74966
1.25,2.85142,14.74598
1.5,2.8519930000000002,14.74895
1.75,2.852134,14.74968
2.0,2.852893,14.7536
2.25,2.852628,14.75223
2.5,2.8527430000000003,14.75282
2.75,2.8530100000000003,14.75421
3.0,2.851868,14.7483
3.25,2.8524220000000002,14.751169999999998
3.5,2.8523709999999998,14.7509
3.75,2.8513479999999998,14.745619999999999
4.0,2.851069,14.74416
4.25,2.850271,14.74005
4.5,2.8503939999999997,14.74067
4.75,2.851414,14.74595
5.0,2.854331,14.76104
5.25,2.856545,14.77249
5.5,2.857979,14.779900000000001
5.75,2.860148,14.79112
6.0,2.862138,14.80141
6.25,2.8617879999999998,14.799610000000001
6.5,-34.6333,14.90503
6.75,-51.1374,15.00477
7.0,-68.0926,15.14107
7.25,-92.9302,15.403360000000001
7.5,-117.5369,15.735299999999999
7.75,-142.3845,16.14622
8.0,-167.34789999999998,16.634719999999998
8.25,-200.5915,17.3999
8.5,-234.0505,18.30401
8.75,-267.9194,19.34948
9.0,-302.553,20.57329
9.25,-330.955,21.67818
9.5,-359.163,22.8702
9.75,-387.231,24.1508
10.0,-414.974,25.505789999999998
10.25,-436.927,26.64461
10.5,-458.471,27.8174
10.75,-479.703,29.027070000000002
11.0,-500.743,30.2779
11.25,-521.017,31.5327
11.5,-541.0,32.8165
11.75,-560.605,34.122
12.0,-580.081,35.4683
12.25,-581.009,35.5385
12.5,-581.527,35.5752
12.75,-581.741,35.5884
13.0,-581.758,35.5941
13.25,-559.301,34.0435
13.5,-536.122,32.5064
13.75,-512.406,30.9998
14.0,-488.293,29.534460000000003
14.25,-515.692,31.1993
14.5,-542.5360000000001,32.9209
14.75,-568.504,34.665800000000004
15.0,-593.462,36.4208
15.25,-549.7090000000001,33.4045
15.5,-504.43899999999996,30.5096
15.75,-458.02,27.792210000000004
16.0,-410.721,25.284
16.25,-393.05099999999993,24.409769999999998
16.5,-374.598,23.54232
16.75,-355.485,22.6919
17.0,-335.517,21.84406
17.25,-296.84839999999997,20.33891
17.5,-257.5084,18.99276
17.75,-217.594,17.81695
18.0,-177.1935,16.81006
18.25,-136.3488,16.00416
18.5,-96.5873,15.402510000000001
18.75,-59.9713,15.02833
19.0,-31.3923,14.847809999999999
19.25,2.85428,14.76077
19.5,2.854433,14.761569999999999
19.75,2.852327,14.750680000000001
20.0,2.850973,14.743670000000002
20.25,2.850598,14.74174
20.5,2.850689,14.74221
20.75,2.850728,14.74241
21.0,2.850832,14.74295
21.25,2.851553,14.746669999999998
21.5,2.849915,14.738209999999999
21.75,2.849366,14.73536
22.0,2.849464,14.73587
22.25,2.849897,14.73811
22.5,2.849549,14.73631
22.75,2.850864,14.743110000000001
23.0,2.850943,14.74352
23.25,2.850061,14.73896
23.5,2.8507670000000003,14.742609999999999
23.75,2.850838,14.74297
24.0,2.849211,14.734559999999998
24.25,2.848222,14.72945
24.5,2.8478440000000003,14.7275
24.75,2.848966,14.7333
25.0,2.850848,14.743030000000001
25.25,2.850655,14.74203
25.5,2.851189,14.744790000000002
25.75,2.851531,14.74656
26.0,2.851246,14.745090000000001
26.25,2.850882,14.7432
26.5,2.8510160000000004,14.7439
26.75,2.8517989999999998,14.74795
27.0,2.8520450000000004,14.74922
27.25,2.852825,14.753250000000001
27.5,2.853146,14.75491
27.75,2.852345,14.75077
28.0,2.851414,14.74596
28.25,2.850577,14.74163
28.5,2.850415,14.74079
28.75,2.851115,14.744409999999998
29.0,2.8521520000000002,14.749769999999998
29.25,2.852963,14.753969999999999
29.5,2.8537339999999998,14.757950000000001
29.75,2.856653,14.77306
30.0,2.857952,14.779770000000001
30.25,2.8572379999999997,14.77607
30.5,2.856932,14.7745
30.75,2.855889,14.7691
31.0,-37.897400000000005,14.86644
31.25,-74.1719,15.123839999999998
31.5,-107.6244,15.476799999999999
31.75,-138.8912,15.930220000000002
32.0,-169.3565,16.49409
32.25,-200.99919999999997,17.21104
32.5,-233.30489999999998,18.07244
32.75,-266.03409999999997,19.087220000000002
33.0,-299.5722,20.24769
33.25,-329.44,21.41746
33.5,-359.422,22.70953
33.75,-389.639,24.13427
34.0,-419.822,25.661520000000003
34.25,-447.87399999999997,27.17082
34.5,-475.62199999999996,28.76515
34.75,-503.06999999999994,30.4365
35.0,-530.198,32.1847
35.25,-545.495,33.2088
35.5,-560.281,34.2234
35.75,-574.615,35.228899999999996
36.0,-588.5999999999999,36.2324
36.25,-577.583,35.4377
36.5,-565.797,34.5966
36.75,-553.3530000000001,33.7339
37.0,-540.142,32.832899999999995
37.25,-547.002,33.2874
37.5,-553.537,33.7264
37.75,-559.806,34.1537
38.0,-565.825,34.561
38.25,-555.277,33.836
38.5,-544.26,33.0954
38.75,-532.963,32.3366
39.0,-521.187,31.566100000000002
39.25,-512.891,31.0412
39.5,-504.03900000000004,30.4872
39.75,-494.64099999999996,29.91294
40.0,-484.57500000000005,29.306729999999998
40.25,-452.985,27.489919999999998
40.5,-420.53999999999996,25.74809
40.75,-387.2710000000001,24.093429999999998
41.0,-353.022,22.537399999999998
41.25,-314.902,20.95947
41.5,-275.9765,19.55609
41.75,-236.3123,18.29211
42.0,-195.5367,17.19217
42.25,-158.95620000000002,16.379559999999998
42.5,-120.023,15.68239
42.75,-77.38730000000001,15.137609999999999
43.0,-27.10574,14.77703
43.25,2.852679,14.70401
43.5,2.842836,14.703050000000001
