Hora_decimal,P_3f_S,Q_3f_S
0.0,-3.4695946000000004e-13,-3.7709699999999996e-13
0.25,-3.4695946000000004e-13,-3.7709699999999996e-13
0.5,-1.489637e-12,1.105354e-12
0.75,0.0,0.0
1.0,2.34818e-13,8.87179e-13
1.25,7.99529e-13,2.949436e-12
1.5,-8.642729999999999e-13,1.563831e-12
1.75,-1.89635e-13,6.873318900000001e-13
2.0,1.97756e-13,-2.32245e-15
2.25,1.6473419999999999e-12,2.23379951e-12
2.5,-1.9651e-13,1.0829800000000001e-13
2.75,2.23156e-13,2.1589920000000002e-12
3.0,-6.80396e-13,4.03477e-13
3.25,-3.7837973999999997e-13,1.48071e-12
3.5,8.79431e-13,-2.9982739999999996e-13
3.75,5.563439999999999e-13,1.37776e-12
4.0,-5.11459e-13,1.9661053999999996e-13
4.25,-2.2659280999999996e-13,-2.0214199999999993e-13
4.5,1.317877e-12,1.1641453299999998e-12
4.75,1.6782210000000003e-12,3.7636177000000005e-13
5.0,3.1576837e-13,-2.363651e-12
5.25,-5.583779999999999e-13,7.90994e-13
5.5,7.99253e-13,6.770776800000001e-13
5.75,4.3045799999999997e-13,7.807298099999999e-13
6.0,1.1548700000000003e-13,-1.7769390000000001e-12
6.25,7.0446e-13,1.867777e-12
6.5,38.4765,0.000536381
6.75,55.4289,0.000307263
7.0,72.8553,0.000422575
7.25,98.40180000000001,0.0007879849999999999
7.5,123.7332,0.00082231
7.75,149.3352,0.001275254
8.0,175.0407,-0.0001136935
8.25,209.3415,0.002336522
8.5,243.84839999999997,0.00038417400000000004
8.75,278.8515,0.002934081
9.0,314.69100000000003,0.0008562330000000001
9.25,344.07,0.0009535850000000001
9.5,373.302,0.001184114
9.75,402.38699999999994,0.001513034
10.0,431.157,0.001704955
10.25,453.957,0.001693485
10.5,476.346,0.002211797
10.75,498.41700000000003,0.002210776
11.0,520.3199999999999,0.00227211
11.25,541.425,0.00277246
11.5,562.2,0.002874847
11.75,582.567,0.006116590000000001
12.0,602.877,0.0038068299999999998
12.25,603.846,-0.002384748
12.5,604.386,-0.00028499250000000003
12.75,604.611,0.001837006
13.0,604.629,-0.000840617
13.25,581.2230000000001,-0.0018758909999999998
13.5,557.154,-0.0036189000000000004
13.75,532.458,-0.0034991799999999997
14.0,507.36300000000006,-0.002471861
14.25,535.8810000000001,0.0032022400000000003
14.5,563.79,0.00399285
14.75,590.808,0.00444415
15.0,616.836,0.00474782
15.25,571.2180000000001,-0.00727944
15.5,524.166,-0.0050390899999999995
15.75,475.87800000000004,-0.004136679999999999
16.0,426.74100000000004,-0.00301886
16.25,408.405,-0.001070641
16.5,389.307,-0.00076742
16.75,369.489,-0.00390076
17.0,348.795,-0.001782202
17.25,308.781,-0.0008708139999999999
17.5,268.086,-0.000571745
17.75,226.8984,-0.002944451
18.0,185.1888,-0.0002099647
18.25,143.10840000000002,-0.00165941
18.5,102.1566,-5.51747e-05
18.75,64.4985,-0.000513323
19.0,35.1405,-0.0001337842
19.25,4.0394e-13,6.80381e-13
19.5,9.40977e-13,2.5386699999999997e-12
19.75,-5.362666e-13,2.372876e-12
20.0,1.085388e-12,3.8088371e-13
20.25,9.41932e-13,4.743015100000001e-13
20.5,-3.56581e-13,8.945250000000001e-13
20.75,-8.20041e-14,1.76616e-12
21.0,6.90077e-13,3.86093e-13
21.25,8.522139999999999e-13,1.661976e-12
21.5,8.73931e-13,2.8466868e-13
21.75,2.08097e-13,7.87835e-13
22.0,-1.50479e-13,1.576004e-12
22.25,1.2740583e-12,1.7552889999999997e-12
22.5,-4.80484e-13,5.074269999999999e-13
22.75,7.34865e-13,1.8546106e-12
23.0,5.300165e-13,1.27827e-12
23.25,-1.5088100000000003e-13,-4.851864699999999e-13
23.5,-1.0371000000000032e-14,1.2709864800000002e-12
23.75,9.99694e-13,8.841360000000001e-13
24.0,1.535032e-12,2.634934e-12
24.25,1.686115e-12,1.0584848699999999e-12
24.5,-8.42169e-13,1.083223e-12
24.75,5.462100000000002e-14,2.25817524e-12
25.0,-8.104999999999994e-15,1.482918e-12
25.25,-1.037785e-12,1.297914e-12
25.5,5.2947102e-13,1.2787020000000001e-12
25.75,1.07667e-12,-3.02906e-13
26.0,-1.01985005e-12,6.057319999999999e-13
26.25,2.616931e-13,8.7931212e-13
26.5,6.015129999999999e-13,6.7741363e-13
26.75,4.41426e-13,1.5694090000000001e-12
27.0,3.5926153e-13,1.379986e-12
27.25,5.2939533e-13,1.2791330000000001e-12
27.5,1.319209e-12,-1.00504e-12
27.75,6.01572e-13,6.777162299999999e-13
28.0,1.0496799999999999e-13,1.07918886e-12
28.25,8.014700000000001e-13,-1.2808997700000002e-12
28.5,5.4056999999999984e-14,2.258895e-12
28.75,-1.53587e-13,1.470727e-12
29.0,9.05174e-13,1.861054e-12
29.25,-8.8852092e-13,1.7837070000000002e-12
29.5,2.431761e-12,1.645934e-12
29.75,4.571728299999999e-13,7.72566e-13
30.0,4.7946000000000026e-14,-4.88293e-13
30.25,1.6074600000000006e-13,-9.98392e-13
30.5,-1.5531499999999998e-13,1.4717900000000001e-12
30.75,-3.1739199999999997e-13,-1.183631e-12
31.0,41.8173,-0.00019665550000000001
31.25,79.09110000000001,-0.0001192361
31.5,113.50380000000001,-7.51199e-05
31.75,145.7052,-0.0001392449
32.0,177.0771,-0.00042057899999999997
32.25,209.72609999999997,-8.91068e-05
32.5,243.0396,8.48303e-05
32.75,276.867,0.000853667
33.0,311.568,-0.0002319544
33.25,342.468,0.000320068
33.5,373.542,-0.000355996
33.75,404.856,0.0010626070000000001
34.0,436.18500000000006,0.002184943
34.25,465.33299999999997,0.001176682
34.5,494.193,0.001721928
34.75,522.762,0.00300568
35.0,551.0250000000001,0.002496491
35.25,566.886,-0.00392778
35.5,582.2819999999999,0.00557232
35.75,597.2249999999999,0.0002524505
36.0,611.823,0.00336948
36.25,600.33,-0.00456687
36.5,588.033,-0.001221273
36.75,575.061,-0.00436218
37.0,561.345,-0.0011885139999999999
37.25,568.443,0.002221112
37.5,575.241,0.0017531069999999998
37.75,581.769,0.001250584
38.0,588.048,0.001951033
38.25,577.053,0.0017463169999999998
38.5,565.602,-0.001883732
38.75,553.893,2.285434e-05
39.0,541.617,0.000520421
39.25,532.977,-0.002438802
