Hora_decimal,P_3f_S,Q_3f_S
0.0,724.53,102.6801
0.25,724.53,102.6801
0.5,734.4979999999999,103.83090000000001
0.75,736.087,106.99000000000001
1.0,729.885,95.8334
1.25,716.408,100.1507
1.5,703.833,92.8708
1.75,711.606,96.42320000000001
2.0,697.497,90.0295
2.25,706.11,93.0282
2.5,717.3240000000001,92.0401
2.75,711.188,91.71979999999999
3.0,729.364,103.09
3.25,717.928,101.76830000000001
3.5,718.3199999999999,100.6274
3.75,725.551,110.65439999999998
4.0,728.569,109.916
4.25,741.456,114.67909999999999
4.5,732.061,123.7397
4.75,734.011,119.42150000000001
5.0,705.404,92.44550000000001
5.25,708.572,79.7315
5.5,657.7,76.4718
5.75,615.204,76.697
6.0,583.231,69.1645
6.25,579.601,69.9807
6.5,550.8,70.9031
6.75,548.538,73.7835
7.0,529.3679999999999,76.8416
7.25,505.466,80.4276
7.5,489.12199999999996,75.5415
7.75,479.29999999999995,80.7443
8.0,354.031,85.43209999999999
8.25,330.05899999999997,88.18459999999999
8.5,330.77299999999997,100.1154
8.75,340.009,111.6943
9.0,324.45899999999995,98.31379999999999
9.25,304.319,100.13359999999999
9.5,274.8211,98.22189999999999
9.75,240.9355,96.237
10.0,238.72039999999998,105.4913
10.25,223.20409999999998,109.15249999999999
10.5,131.9458,111.7449
10.75,119.0163,108.7665
11.0,148.5546,109.0004
11.25,126.66220000000001,113.60329999999999
11.5,120.75919999999999,107.06320000000001
11.75,134.3696,114.82770000000001
12.0,131.10109999999997,134.8256
12.25,149.25119999999998,127.12989999999999
12.5,168.3792,136.6555
12.75,166.7695,141.4959
13.0,99.2882,126.5506
13.25,110.0265,124.57400000000001
13.5,137.1241,112.56039999999999
13.75,203.8254,114.4874
14.0,246.24139999999997,109.49870000000001
14.25,246.757,121.0413
14.5,236.9151,129.5779
14.75,217.62189999999998,127.02290000000002
15.0,184.3349,136.2162
15.25,229.60159999999996,122.9076
15.5,170.2403,108.1216
15.75,226.4692,110.3047
16.0,303.066,122.85770000000001
16.25,347.924,131.0215
16.5,396.99199999999996,136.86249999999998
16.75,422.008,125.6893
17.0,426.928,117.16669999999999
17.25,477.291,112.2717
17.5,498.351,96.50309999999999
17.75,523.646,89.7156
18.0,565.539,87.16730000000001
18.25,604.41,82.73079999999999
18.5,648.711,91.1655
18.75,671.877,90.11449999999999
19.0,687.648,80.4198
19.25,713.474,74.71260000000001
19.5,693.175,64.1787
19.75,737.697,70.2585
20.0,771.2339999999999,66.9699
20.25,773.826,67.2423
20.5,776.8210000000001,63.2625
20.75,761.4870000000001,66.6221
21.0,760.932,66.4766
21.25,753.102,61.2196
21.5,753.96,75.1544
21.75,756.414,86.00999999999999
22.0,744.1759999999999,85.9936
22.25,742.608,85.8796
22.5,750.174,94.18469999999999
22.75,733.329,86.5317
23.0,728.232,83.2367
23.25,739.581,93.1369
23.5,728.7750000000001,84.76520000000001
23.75,725.604,89.416
24.0,755.053,103.66460000000001
24.25,757.475,106.8913
24.5,760.244,115.374
24.75,756.1389999999999,108.6959
25.0,731.145,93.6759
25.25,739.1759999999999,98.32900000000001
25.5,726.624,94.4235
25.75,723.908,87.2514
26.0,715.372,86.6821
26.25,729.63,90.9455
26.5,722.616,88.5098
26.75,730.2289999999999,88.2283
27.0,726.873,96.8707
27.25,714.013,88.7047
27.5,708.203,83.7912
27.75,719.4870000000001,88.66390000000001
28.0,732.21,97.4932
28.25,745.352,102.16049999999998
28.5,755.0699999999999,110.14410000000001
28.75,746.3019999999999,108.77959999999999
29.0,740.396,100.4039
29.25,732.318,97.7373
29.5,693.943,88.1231
29.75,653.505,91.4338
30.0,626.666,85.3356
30.25,622.567,82.31960000000001
30.5,639.586,78.2432
30.75,666.599,81.131
31.0,675.6949999999999,91.4349
31.25,724.153,89.5455
31.5,863.783,102.8837
31.75,971.171,111.80789999999999
32.0,1023.171,119.8173
32.25,1051.165,121.73339999999999
32.5,1142.182,140.7915
32.75,1192.347,142.197
33.0,1180.592,155.5431
33.25,1251.499,157.6407
33.5,1296.133,158.1623
33.75,1147.536,143.63909999999998
34.0,1227.554,148.5254
34.25,1182.225,156.1218
34.5,1170.682,173.2368
34.75,1054.967,171.8794
35.0,1097.8790000000001,183.922
35.25,1123.536,194.4747
35.5,1029.088,169.193
35.75,1010.4949999999999,175.8466
36.0,980.1300000000001,188.0549
36.25,962.8200000000002,184.537
36.5,1005.238,189.9802
36.75,984.5799999999999,181.3894
37.0,841.1600000000001,157.4288
37.25,813.107,163.5399
37.5,806.7930000000001,151.6038
37.75,722.924,154.0519
38.0,725.577,152.9565
