Hora_decimal,P_3f_S,Q_3f_S
0.0,1.845206e-12,2.2305035e-12
0.25,1.845206e-12,2.2305035e-12
0.5,9.69186e-13,5.7469164e-13
0.75,-7.457779999999999e-13,1.58389e-12
1.0,-2.1724600000000002e-13,5.88848e-13
1.25,7.64519e-13,-2.0245800000000038e-15
1.5,3.77221e-13,6.87737e-13
1.75,5.660456000000002e-14,3.030849999999999e-13
2.0,-1.6206700000000002e-13,7.8603456e-13
2.25,-1.8968099999999998e-13,6.8743863e-13
2.5,9.326605500000001e-13,1.959902e-12
2.75,1.149685e-12,-9.03727e-13
3.0,5.09284e-13,1.865745e-12
3.25,-9.992151e-13,1.389121e-12
3.5,6.770120000000039e-15,5.79097e-13
3.75,4.56187e-13,-3.9375300000000003e-13
4.0,9.692293e-13,2.848787e-12
4.25,-3.95375e-13,4.68807e-15
4.5,-2.8612400000000003e-13,2.92773e-13
4.75,4.40093e-13,1.569864e-12
5.0,-3.5608900000000003e-13,-1.168859e-12
5.25,-4.398739999999999e-13,1.871165e-12
5.5,4.10887e-13,1.3671697399999999e-12
5.75,-4.70152e-13,1.7730153099999998e-12
6.0,2.00187e-13,2.10386e-13
6.25,1.221607e-12,-6.06247e-13
6.5,37.330799999999996,0.000495698
6.75,53.7747,0.00028129880000000003
7.0,70.6761,0.00038246700000000005
7.25,95.4492,0.000699114
7.5,120.009,0.0007027050000000001
7.75,144.8268,0.0011669340000000001
8.0,169.78470000000002,-0.00015285929999999997
8.25,203.0421,0.002020975
8.5,236.5554,0.0002931265
8.75,270.5055,0.002400966
9.0,305.229,0.0033525100000000004
9.25,333.759,0.002851744
9.5,362.106,0.002713148
9.75,390.37199999999996,0.00117585
10.0,418.31100000000004,0.001305783
10.25,440.39099999999996,0.002798024
10.5,462.14700000000005,0.001662333
10.75,483.56399999999996,0.00152464
11.0,504.801,0.001772864
11.25,525.273,0.002173858
11.5,545.466,0.002239403
11.75,565.311,0.00513764
12.0,585.012,0.00300276
12.25,585.951,-0.002068213
12.5,586.476,-0.0002652911
12.75,586.692,0.001615816
13.0,586.71,-0.000755458
13.25,563.988,-0.002106495
13.5,540.537,-0.002803694
13.75,516.576,-0.002745755
14.0,492.23400000000004,-0.001920897
14.25,519.894,0.002472397
14.5,547.02,0.0031019399999999996
14.75,573.297,0.00346755
15.0,598.557,0.00373506
