Hora_decimal,P_3f_S,Q_3f_S
0.0,53.021699999999996,61.8446
0.25,53.021699999999996,61.8446
0.5,47.8935,59.5051
0.75,51.2739,59.6186
1.0,52.810900000000004,60.74719999999999
1.25,54.5676,61.5487
1.5,56.5653,61.8445
1.75,54.4722,59.9841
2.0,53.484899999999996,59.829800000000006
2.25,56.265600000000006,60.6549
2.5,54.151399999999995,61.2306
2.75,54.94749999999999,61.2068
3.0,51.400800000000004,60.9103
3.25,51.7191,60.3786
3.5,51.022800000000004,60.44649999999999
3.75,52.0614,60.6536
4.0,49.458600000000004,61.0292
4.25,50.4819,61.0224
4.5,48.1263,61.8031
4.75,47.2854,60.449600000000004
5.0,48.7866,59.25279999999999
5.25,46.9701,56.7071
5.5,48.5202,57.250699999999995
5.75,43.1676,57.4336
6.0,42.6155,57.7685
6.25,45.0271,58.154799999999994
6.5,-78.5303,58.850300000000004
6.75,-133.5933,59.01819999999999
7.0,-189.8597,59.7532
7.25,-270.1728,60.893
7.5,-350.395,63.1179
7.75,-432.004,64.4482
8.0,-530.386,65.34389999999999
8.25,-640.096,68.4197
8.5,-746.635,73.0412
8.75,-855.036,77.8962
9.0,-964.4270000000001,81.80349999999999
9.25,-1057.129,85.4822
9.5,-1147.172,90.39580000000001
9.75,-1237.571,96.1765
10.0,-1326.952,101.2376
10.25,-1400.453,105.3996
10.5,-1485.132,107.5083
10.75,-1554.92,111.79390000000001
11.0,-1613.813,117.36819999999999
11.25,-1678.281,123.417
11.5,-1743.003,126.87880000000001
11.75,-1803.6329999999998,131.85580000000002
12.0,-1868.868,136.4642
12.25,-1870.578,136.8539
12.5,-1873.011,137.6015
12.75,-1875.989,137.121
13.0,-1881.33,136.3564
13.25,-1808.9920000000002,131.0475
13.5,-1726.9919999999997,125.9099
13.75,-1645.641,120.5427
14.0,-1568.318,113.4788
14.25,-1656.6390000000001,119.4058
14.5,-1745.8200000000002,125.61710000000001
14.75,-1827.27,132.4932
15.0,-1911.261,138.891
15.25,-1768.6350000000002,126.8224
15.5,-1628.748,116.9993
15.75,-1474.202,108.4563
16.0,-1318.913,98.67250000000001
16.25,-1252.361,98.75370000000001
16.5,-1194.04,93.108
16.75,-1131.974,88.60560000000001
17.0,-1065.52,84.98949999999999
17.25,-938.307,78.97890000000001
17.5,-806.8700000000001,74.0582
17.75,-672.829,69.381
18.0,-541.74,65.4872
18.25,-408.80500000000006,62.1208
18.5,-278.76189999999997,59.6063
18.75,-156.5324,57.829299999999996
19.0,-60.7805,57.08840000000001
19.25,52.844300000000004,56.582
19.5,54.2882,56.5801
19.75,53.9846,56.9204
20.0,59.1589,57.52080000000001
20.25,58.67439999999999,56.4963
20.5,57.8804,56.1045
20.75,58.113600000000005,56.5122
21.0,57.6255,57.626599999999996
21.25,59.7001,57.1113
21.5,60.6836,58.593599999999995
21.75,56.238299999999995,58.8755
22.0,57.6091,59.8931
22.25,56.9203,59.1147
22.5,53.6109,59.1958
22.75,53.4777,58.9818
23.0,53.4594,58.938199999999995
23.25,52.968900000000005,59.7572
23.5,57.9387,61.007400000000004
23.75,58.0029,60.715199999999996
24.0,52.55239999999999,60.483799999999995
24.25,53.3001,61.485200000000006
24.5,51.3798,61.6837
24.75,50.0997,60.699799999999996
25.0,53.625,60.4786
25.25,53.0861,60.7085
25.5,53.85510000000001,60.1005
25.75,53.5653,59.6432
26.0,56.1429,60.934200000000004
26.25,54.9906,59.894000000000005
26.5,55.0559,60.83449999999999
26.75,54.357299999999995,58.730000000000004
27.0,50.297999999999995,58.7855
27.25,49.5684,58.362199999999994
27.5,49.8183,58.0307
27.75,48.4764,58.1558
28.0,48.7737,58.33370000000001
28.25,50.8947,58.7126
28.5,47.490300000000005,58.1549
28.75,47.6415,58.559
29.0,48.119699999999995,58.727900000000005
29.25,47.0235,58.59739999999999
29.5,51.9576,59.6279
29.75,46.4386,59.1077
30.0,47.6235,59.772200000000005
30.25,48.4041,59.8242
30.5,50.1126,59.602700000000006
30.75,50.8557,58.8263
31.0,-72.9781,61.097100000000005
31.25,-178.84679999999997,61.2108
31.5,-286.2629,64.8194
31.75,-373.866,66.63230000000001
32.0,-479.529,67.2413
32.25,-560.5459999999999,72.1154
32.5,-660.417,78.0972
32.75,-766.3240000000001,81.12780000000001
33.0,-868.305,82.584
33.25,-955.2529999999999,88.9427
33.5,-1059.565,91.96249999999999
33.75,-1131.311,97.3786
34.0,-1242.557,103.21709999999999
34.25,-1343.5790000000002,110.6759
34.5,-1447.894,116.2199
34.75,-1538.2420000000002,119.8629
35.0,-1602.142,132.4608
35.25,-1661.04,133.125
35.5,-1697.766,143.2238
35.75,-1744.9250000000002,146.9998
36.0,-1795.784,151.603
36.25,-1756.643,148.2027
36.5,-1732.511,138.30970000000002
36.75,-1694.3990000000001,134.54950000000002
37.0,-1654.9139999999998,131.5789
37.25,-1695.87,133.0187
37.5,-1719.206,133.44529999999997
