Hora_decimal,P_3f_S,Q_3f_S
0.0,2.866879999999999e-13,8.727659999999999e-13
0.25,2.866879999999999e-13,8.727659999999999e-13
0.5,-3.48944e-13,-5.89744e-13
0.75,1.8597500000000002e-13,1.3756525700000001e-12
1.0,-7.404729999999999e-13,2.268817e-12
1.25,6.9787128e-13,1.179385e-12
1.5,1.3861659999999999e-12,1.4618419900000002e-12
1.75,2.3046e-14,2.1617e-12
2.0,-3.5251700000000003e-13,1.579459e-12
2.25,1.118816e-12,1.06208748e-12
2.5,9.316790000000002e-13,2.06754e-12
2.75,-1.4522000000000016e-14,-1.3706580000000002e-12
3.0,-3.68056e-13,1.0279922e-13
3.25,1.0790700000000002e-12,2.34146739e-12
3.5,6.640798e-13,1.667521e-12
3.75,1.084888e-12,3.8418716e-13
4.0,1.8172730000000001e-12,2.347294e-12
4.25,-3.7022800000000004e-13,2.377211e-12
4.5,-7.35986e-13,2.0538796e-13
4.75,1.166282e-12,5.7425151e-13
5.0,9.702600000000006e-14,5.00854e-13
5.25,-7.999049799999999e-13,-7.836650000000001e-13
5.5,-9.55738e-13,7.9432347e-13
5.75,7.78201e-13,1.372381e-12
6.0,-2.7376108e-13,1.8775710000000002e-12
6.25,-5.46468e-13,-5.89594e-13
6.5,41.2887,0.001122992
6.75,59.489999999999995,0.000683266
7.0,78.2055,0.0009419680000000001
7.25,105.65729999999999,5.07698e-05
7.5,132.888,0.000102936
7.75,160.3938,0.0002051798
8.0,187.9512,0.0002862936
8.25,224.83889999999997,0.000872507
8.5,261.7536,0.001390486
8.75,299.3823,0.002084072
9.0,337.77,0.00308399
9.25,369.318,0.00345992
9.5,400.695,0.00436096
9.75,431.799,0.0054904
10.0,462.684,0.00648673
10.25,487.161,0.006169720000000001
10.5,511.20000000000005,0.00786277
10.75,534.951,0.00767316
11.0,558.396,0.00839297
11.25,580.893,0.00988495
11.5,603.069,0.0104013
11.75,624.9749999999999,0.01036041
12.0,646.614,0.01342523
12.25,647.64,-0.0032405100000000003
12.5,648.216,-0.000407627
12.75,648.453,0.0023832980000000003
13.0,648.4739999999999,-0.001525368
13.25,623.412,-0.011229590000000001
13.5,597.654,-0.012441689999999998
13.75,571.332,-0.01166518
14.0,544.497,-0.009101
14.25,574.986,0.01198281
14.5,604.779,0.014285080000000002
14.75,633.759,0.01592077
15.0,661.461,0.01711363
15.25,612.735,-0.025156110000000002
15.5,562.491,-0.018334330000000003
