Hora_decimal,P_3f_S,Q_3f_S
0.0,2.852007,14.749030000000001
0.25,2.852007,14.749030000000001
0.5,2.853467,14.75657
0.75,2.853377,14.75611
1.0,2.853423,14.756350000000001
1.25,2.852487,14.7515
1.5,2.852768,14.752960000000002
1.75,2.853252,14.755460000000001
2.0,2.853714,14.75784
2.25,2.853645,14.75749
2.5,2.85398,14.759220000000001
2.75,2.8541659999999998,14.760179999999998
3.0,2.853428,14.75637
3.25,2.853846,14.75853
3.5,2.853656,14.75755
3.75,2.852852,14.75339
4.0,2.852548,14.751820000000002
4.25,2.852013,14.74905
4.5,2.852061,14.749300000000002
4.75,2.853314,14.755780000000001
5.0,2.855585,14.76752
5.25,2.857942,14.779710000000001
5.5,2.858612,14.78318
5.75,2.860515,14.79302
6.0,2.862078,14.801100000000002
6.25,2.861539,14.79831
6.5,-38.3928,14.95106
6.75,-56.5633,15.08389
7.0,-75.2373,15.25908
7.25,-102.6104,15.592469999999999
7.5,-129.74200000000002,16.00745
7.75,-157.12539999999998,16.518079999999998
8.0,-184.5392,17.116529999999997
8.25,-221.2009,18.05512
8.5,-257.8523,19.14623
8.75,-295.1743,20.4155
9.0,-333.21,21.88123
9.25,-364.435,23.20493
9.5,-395.46900000000005,24.62916
9.75,-426.20400000000006,26.14792
10.0,-456.699,27.759929999999997
10.25,-480.849,29.11301
10.5,-504.55000000000007,30.502399999999998
10.75,-527.952,31.9373
11.0,-551.04,33.4129
11.25,-573.18,34.8832
11.5,-594.9929999999999,36.3842
11.75,-616.524,37.9233
12.0,-637.783,39.4878
12.25,-638.79,39.5805
12.5,-639.355,39.621700000000004
12.75,-639.587,39.6361
13.0,-639.608,39.644099999999995
13.25,-614.986,37.836
13.5,-589.664,36.0406
13.75,-563.7719999999999,34.277300000000004
14.0,-537.354,32.550399999999996
14.25,-567.366,34.4925
14.5,-596.671,36.5039
14.75,-625.155,38.5493
15.0,-652.3620000000001,40.5921
15.25,-604.493,37.0992
15.5,-555.069,33.7076
15.75,-504.04600000000005,30.4955
16.0,-452.01599999999996,27.51746
16.25,-432.546,26.472250000000003
16.5,-412.368,25.44544
16.75,-391.412,24.430200000000003
17.0,-369.43,23.41678
17.25,-326.952,21.616319999999998
17.5,-283.68320000000006,19.99313
17.75,-239.85410000000002,18.567610000000002
18.0,-195.3902,17.34403
18.25,-150.4817,16.35269
18.5,-106.6379,15.60693
18.75,-66.2928,15.132549999999998
19.0,-34.824600000000004,14.89339
19.25,2.854889,14.763920000000002
19.5,2.8545119999999997,14.761970000000002
19.75,2.852952,14.7539
20.0,2.851601,14.74691
20.25,2.851178,14.74474
20.5,2.851254,14.74513
20.75,2.851212,14.74492
21.0,2.8514850000000003,14.74633
21.25,2.851967,14.74882
21.5,2.850434,14.74088
21.75,2.8501399999999997,14.73937
22.0,2.849927,14.73826
22.25,2.85047,14.741069999999999
22.5,2.850359,14.74049
22.75,2.8514340000000002,14.74606
23.0,2.851502,14.7464
23.25,2.850918,14.743390000000002
23.5,2.8514429999999997,14.746099999999998
23.75,2.851604,14.746939999999999
24.0,2.850548,14.74148
24.25,2.849532,14.736229999999999
24.5,2.8493,14.73502
24.75,2.850381,14.74061
25.0,2.8517520000000003,14.74771
25.25,2.8517580000000002,14.74774
25.5,2.8522049999999997,14.75005
25.75,2.852351,14.7508
26.0,2.8518,14.747959999999999
26.25,2.851746,14.747679999999999
26.5,2.8516760000000003,14.74731
26.75,2.852742,14.75282
27.0,2.853156,14.75496
27.25,2.853579,14.75714
27.5,2.853717,14.75786
27.75,2.853177,14.75507
28.0,2.852515,14.75165
28.25,2.85187,14.74832
28.5,2.8519769999999998,14.74887
28.75,2.852655,14.75237
29.0,2.853757,14.75807
29.25,2.854509,14.761960000000002
29.5,2.854476,14.761790000000001
29.75,2.857421,14.77702
30.0,2.858231,14.78121
30.25,2.857215,14.775949999999998
30.5,2.8569299999999997,14.77448
30.75,2.8561370000000004,14.77038
31.0,-41.985,14.91806
31.25,-81.9332,15.257069999999999
31.5,-118.80359999999999,15.72382
31.75,-153.2895,16.30149
32.0,-186.7448,17.01025
32.25,-221.6293,17.88916
32.5,-257.0217,18.93895
32.75,-293.0831,20.16955
33.0,-329.931,21.56354
33.25,-362.757,22.96951
33.5,-395.77200000000005,24.518099999999997
33.75,-428.828,26.19371
34.0,-462.024,28.006389999999996
34.25,-492.88,29.79862
34.5,-523.408,31.6841
34.75,-553.569,33.6552
35.0,-583.189,35.7025
35.25,-599.9259999999999,36.8974
35.5,-616.153,38.0881
35.75,-631.8620000000001,39.266
36.0,-647.051,40.4293
36.25,-635.0219999999999,39.5114
36.5,-622.165,38.53060000000001
36.75,-608.455,37.512800000000006
37.0,-594.043,36.4645
37.25,-601.5310000000001,36.9839
37.5,-608.697,37.4975
37.75,-615.6370000000001,37.9972
38.0,-622.201,38.471599999999995
38.25,-610.578,37.6292
38.5,-598.537,36.7625
38.75,-586.2149999999999,35.8634
39.0,-573.361,34.9538
39.25,-564.288,34.3367
39.5,-554.634,33.6894
39.75,-544.312,33.012100000000004
40.0,-533.26,32.299
40.25,-498.50700000000006,30.1545
